device_label,window_id,time_block_id,start_timestamp,end_timestamp,iat_0,iat_1,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,iat_9,iat_10,iat_11,iat_12,iat_13,iat_14,iat_15,iat_16,iat_17,iat_18,iat_19,iat_20,iat_21,iat_22,iat_23,iat_24,iat_25,iat_26,iat_27,iat_28,iat_29,iat_30,iat_31,iat_32,iat_33,iat_34,iat_35,iat_36,iat_37,iat_38,iat_39,iat_40,iat_41,iat_42,iat_43,iat_44,iat_45,iat_46,iat_47,iat_48,iat_49,iat_50,iat_51,iat_52,iat_53,iat_54,iat_55,iat_56,iat_57,iat_58,iat_59,iat_60,iat_61,iat_62,iat_63,iat_64,iat_65,iat_66,iat_67,iat_68,iat_69,iat_70,iat_71,iat_72,iat_73,iat_74,iat_75,iat_76,iat_77,iat_78,iat_79,iat_80,iat_81,iat_82,iat_83,iat_84,iat_85,iat_86,iat_87,iat_88,iat_89,iat_90,iat_91,iat_92,iat_93,iat_94,iat_95,iat_96,iat_97,iat_98,iat_99,iat_100,iat_101,iat_102,iat_103,iat_104,iat_105,iat_106,iat_107,iat_108,iat_109,iat_110,iat_111,iat_112,iat_113,iat_114,iat_115,iat_116,iat_117,iat_118,iat_119,iat_120,iat_121,iat_122,iat_123,iat_124,iat_125,iat_126,iat_127
AmazonEcho,0,0,1479772804.877398,1479772985.580248,0.007131597,2.343353169,2.151190989,1.204115464,0.000148047,0.008603885,0.000113004,0.002230538,0.000101084,0.003819553,0.000097031,0.003710055,0.000113004,0.004381343,0.000097985,0.003440178,0.000097031,0.003744972,0.000099892,0.006172878,0.000098223,0.001498767,0.000107998,0.004345499,0.001595654,0.001879356,0.001371159,0.002478862,0.001336158,0.003153829,0.001371159,0.005841801,0.001350206,0.003368182,0.001177333,0.003022628,0.000967511,0.016519672,0.000971561,0.005538595,0.000939642,0.008885369,0.000952505,0.015676478,0.000128976,0.000388070,0.000394743,0.012145139,0.134236208,0.002010945,0.000863656,0.002533799,0.000133029,0.000271999,0.000308942,0.023330583,0.110227531,0.008182337,0.018738275,0.004445195,0.000598728,0.002088986,0.000120871,0.000241012,0.000318953,0.030419489,0.104142958,0.008277633,0.025239872,0.011027817,0.000133982,0.134042312,0.007233620,1.722763771,0.005538595,0.000648765,0.222222259,2.521221700,2.151341322,2.462990564,0.196563749,0.000123970,0.041122776,1.644145196,0.148773328,0.488654241,0.009575155,1.493552877,2.151865566,2.686149310,0.010433415,0.000118964,0.226702047,1.792837732,0.007550275,0.383759254,2.152052633,2.793685856,0.172797058,0.770716927,0.196521048,0.000546782,0.044333583,1.243644999,2.152864021,2.700998469,0.971121986,0.137456661,1.554938854,0.183226978,0.258476878,0.165605817,0.011862450,0.000838643,0.055675053,0.147627434,0.000782661,0.042499968,0.280035558,0.006256518,1.992414288,3.016185471,1.592422370,0.196560616,0.000121825,0.010573084,1.496180979,0.927840577
AmazonEcho,1,0,1479772985.601877,1479773100.169145,0.021398272,2.937258255,1.792227058,0.000036000,0.765459902,0.007448284,0.000111812,0.221074992,0.790566137,3.016361222,2.152708155,0.938283456,0.196397048,0.000229094,0.044894045,1.784750771,0.006777158,2.612495363,2.153055552,1.702481546,0.006917102,0.000574662,0.221143223,1.792836898,0.006935807,2.366513702,2.153226368,2.055759438,0.029996628,0.070529300,0.000148047,0.010402742,0.000117057,0.003941150,0.000100846,0.004429292,0.001311157,0.000094886,0.003201837,0.000095124,0.008711903,0.000111097,0.009046991,0.000109905,0.005035338,0.000102992,0.003612423,0.000109905,0.017519601,0.000100131,0.012489675,0.001581610,0.004392500,0.001369968,0.004134441,0.001372111,0.006333992,0.000088926,0.001354016,0.002526903,0.001355920,0.002753278,0.001162330,0.001477817,0.000827685,0.000989662,0.000511754,0.000098939,0.002813193,0.000087972,0.003023341,0.000944645,0.010888448,0.000934641,0.006990499,0.000959413,0.002756370,0.000942501,0.001772501,0.000383780,0.000118964,0.000421912,0.000250070,0.012396900,0.114734689,0.014857240,0.007066969,0.004385378,0.000664728,0.001943130,0.000123970,0.000256029,0.000323959,0.014352306,0.118953039,0.007975164,0.009258905,0.002395143,0.000690936,0.001812246,0.000122063,0.000330870,0.000318953,0.026915551,0.011260293,0.005010430,0.092757058,0.019815231,0.001010622,0.009032106,0.001630645,0.009579878,0.075865190,0.062611226,0.010930190,0.041831616,0.009786956,0.000127069,0.000083919,0.006134254,0.000886524,0.002315223,0.040095336,0.145045496,0.010256206,0.006836595,0.000116818,0.005309054
AmazonEcho,2,0,1479773100.169258,1479773349.519638,0.000113004,0.040177790,0.000118010,0.001484007,0.001487817,0.049408907,0.000117057,0.196972060,0.094871957,0.006266232,0.001599701,0.001248296,0.059190165,0.001629692,0.059794244,0.065379428,0.004631269,0.008425405,0.008504602,0.002973660,0.147872389,0.004260036,0.001435918,0.027079855,0.004608487,0.008449283,0.008526350,0.002897828,0.151862379,0.001561852,1.163690995,0.887466456,0.008429424,0.323255121,0.008689213,0.000109905,0.196453860,1.965412853,2.152948480,2.836795750,0.196494800,0.000123016,0.041015228,1.410250838,1.053906347,0.010831138,1.203439487,0.134506347,1.448283489,2.995624467,0.005959124,0.000112051,0.223062677,0.155613907,1.677406439,0.148741481,0.280296434,0.003317332,1.326038952,2.992753689,0.134622635,0.286176876,1.278430738,0.196471881,0.000130883,0.048655914,1.035509182,0.006498870,1.368627734,3.016292065,1.876134455,0.256525031,0.196596656,0.003642355,0.150566009,0.001627551,0.000607782,0.221371582,0.769060437,0.729592508,0.174513582,0.978836474,0.003230830,2.732832176,0.134497802,1.087119494,2.152933832,0.954317227,0.196508121,0.000121825,0.213956698,0.196285376,0.640297861,0.045412046,0.210171827,0.181872275,1.389445635,0.137469753,0.014082466,0.001472819,2.609922061,2.152017988,1.582770699,0.007784506,0.000114195,0.221507807,1.749899441,0.003607434,2.191801772,0.134425271,1.236767673,2.153045004,0.674310816,0.181853988,1.903586272,0.196493233,0.000123016,0.040412289,1.785936220,0.011544095,2.117284861,2.153080748,2.380345351,0.006949776,0.000110143,0.222138255,1.591183686,0.134412973
AmazonEcho,3,0,1479773350.220238,1479773439.130244,0.530981076,0.003690101,1.721722145,2.152893430,2.626186059,0.196452096,0.000215984,0.045862144,1.784607784,0.007848142,0.859916727,1.460687548,0.033538223,0.001087313,0.191342480,0.004552477,0.187445177,0.004543695,0.129989858,0.188403006,0.001601843,0.000123016,0.000078914,0.003796751,0.002945848,0.000085827,0.011077571,0.193183158,0.000112051,0.008683068,0.006500764,0.000113004,0.188274638,0.018528362,0.197165877,0.049756269,0.708307164,0.000112051,0.012544065,0.037870638,0.983003530,2.408456497,0.134438194,0.022398233,0.000153053,0.005533615,0.000101084,0.003762787,0.000098939,0.005826158,0.000101800,0.003491023,0.000107998,0.003129111,0.000101084,0.002518817,0.000098939,0.003961098,0.000097031,0.003837603,0.000104898,0.003883441,0.000110143,0.004850051,0.001585894,0.005015411,0.001353063,0.002773013,0.001387111,0.002499791,0.001364254,0.003055192,0.001365206,0.007230780,0.001201146,0.003236772,0.001008478,0.004739717,0.000956554,0.005973107,0.000935593,0.003785826,0.000957507,0.006958773,0.000138034,0.000293927,0.000343979,0.009888000,0.134229328,0.018081475,0.000138988,0.001454011,0.000343741,0.000225995,0.000307990,0.016547343,0.117242474,0.009719667,0.009461089,0.011998622,0.000600872,0.001927187,0.000346839,0.000249116,0.000313948,0.013395784,0.119998402,0.008018683,0.008033583,0.003460136,0.000426917,0.134015831,0.008497747,1.704479900,0.012969426,0.179737379,0.002693361,0.000105137,0.225728099,1.482642228,2.152938235,2.925486567,0.750904203,0.196552193,0.000117057,0.048451961,0.326494087,1.443158990
AmazonEcho,4,0,1479773439.138410,1479773652.720265,0.008132913,1.680565459,1.982618645,0.134436527,2.639985692,1.189292065,0.003513831,0.000506750,0.224644842,1.749885022,0.008182337,0.266146454,2.507186908,0.148863110,2.195762294,1.839374326,0.196465221,0.000110859,0.435212362,0.042101160,0.940114612,1.350868742,0.004207094,2.862679797,2.153951443,0.475354837,0.600300880,0.196562966,0.001830332,0.052835269,0.016092768,0.002609660,0.224039222,1.535584033,0.004345499,2.282787999,0.172785425,1.738531701,0.098577586,2.152735076,1.746699348,0.196508904,0.000113004,1.161650867,0.046956248,1.325994320,0.007623862,2.347132455,2.151987750,0.962985797,0.137559516,1.757519914,0.003416180,0.000507941,0.224715116,1.749886058,0.008323267,2.179892898,2.152013110,2.357688998,0.196490686,0.000152099,0.210342623,0.196242663,0.063381313,0.040954814,1.694181366,0.008124873,1.726908730,2.152331573,2.603703528,0.586230011,0.196646796,0.012039140,0.009360947,0.003350598,0.000101800,0.228332549,1.409247134,0.034306829,0.016363474,0.086771082,0.097995629,0.094175878,0.107178521,0.152066775,0.012553012,0.039501467,0.003648294,0.012609046,0.031650965,0.019376871,0.002173682,0.320798579,0.011735922,0.154908428,0.039442793,0.014373224,0.110007993,0.189207798,0.001548759,0.000105137,0.000118964,0.027961252,0.003844729,0.009574919,0.177604703,0.013131331,0.031651888,0.189915132,0.006861221,0.221805223,0.002116584,0.039962708,0.036506590,0.163997973,0.139823805,0.019922045,0.027924620,0.172962727,0.002404182,0.026991440,0.001147327,0.000132075,0.008679286,0.000300839,0.005269210,0.001335920
AmazonEcho,5,0,1479773652.720496,1479773700.339470,0.000231001,0.000331108,0.000362807,0.005054315,0.000164019,0.000031947,0.000282009,0.019440708,0.208395283,0.013646524,0.032068277,0.000303938,0.001049444,0.002395143,0.000230048,0.000465762,0.001699672,0.000346839,0.000601826,0.003672286,0.001105413,0.000190002,0.016016985,0.226026545,0.304602621,0.050379447,0.050160654,0.492835347,0.252055979,0.050140699,0.050195800,0.228176375,0.050141606,0.050129361,0.654328418,0.050150223,0.050125279,0.479378954,0.050203510,0.050147275,0.653393441,0.050312794,0.050163375,0.307959594,0.050134124,0.050143420,0.520407957,0.214680603,0.050157933,0.050166323,0.271365164,2.271053046,2.461675133,1.600007764,0.196474232,0.000125162,0.385820683,0.007317171,1.378646946,0.295237257,0.794637239,0.009847395,2.519254216,0.000149001,0.005757415,0.000113958,0.003201837,0.000097031,0.007476918,0.000109905,0.004013105,0.000102038,0.004714801,0.000093933,0.002889746,0.000097985,0.003580590,0.000109190,0.003993870,0.000097031,0.003760886,0.000098939,0.004721920,0.001578753,0.002831024,0.001387111,0.005056213,0.001359968,0.002375164,0.001378063,0.002463879,0.001355206,0.007047083,0.001161377,0.003258635,0.000969417,0.002006186,0.000952505,0.003053291,0.000947503,0.002912805,0.000980611,0.006465944,0.000389023,0.000151861,0.000359947,0.012917178,0.134235374,0.002737348,0.002034976,0.000185949,0.000328010,0.000143995,0.000320860,0.015163506,0.119716277,0.008017737,0.008372919,0.013980669,0.000136128,0.002348048,0.000123016,0.000266993,0.000312041,0.021706741,0.111930303,0.019989820,0.005006397
AmazonEcho,6,0,1479773700.346098,1479773999.842756,0.006606167,0.000408090,0.134073588,0.008558263,1.742516696,0.011520291,0.000674735,0.226063440,0.523004538,2.153042318,2.453953246,2.280654763,1.118365264,0.196502244,0.000121825,0.047948033,1.783792291,0.012833387,0.277117871,3.016265917,1.790590774,0.013008023,0.000113958,0.225802481,1.208851066,3.016625578,1.836113313,0.148776821,1.154806700,0.331484089,0.196517131,0.000123016,0.372383906,0.046775611,1.002868769,0.003656133,2.866891016,2.152602182,1.464851847,0.011693270,0.000479822,0.226058496,2.823002813,1.450246588,0.171653278,1.640196208,0.614716759,0.004455164,1.869591723,0.196479325,0.000198821,0.041759818,2.626137015,2.152427103,2.329614569,0.008131967,0.000111812,0.221273938,2.075656765,0.434883985,0.044236189,1.203366489,1.290033984,0.013313914,1.784632958,1.580830195,0.137522947,2.227860593,0.196469335,0.000125877,0.048445374,2.063191093,2.151941018,2.566978605,1.434369025,0.007554534,0.000688554,0.221240305,1.598523126,0.592401031,0.009164884,2.051854099,2.956804993,0.196468551,0.000124923,0.209321274,0.196267351,0.001068259,0.057516878,0.379027271,2.152019152,2.815519017,0.000144947,0.009039904,0.000115149,0.003610522,0.000103946,0.003755898,0.000097985,0.003813615,0.000104184,0.004783377,0.000102992,0.002814145,0.000109905,0.005774246,0.000113004,0.001553996,0.000099892,0.004720734,0.000102992,0.008426587,0.001618506,0.008581192,0.001389968,0.002590635,0.001371159,0.009768068,0.001388063,0.003809814,0.001359968,0.007877001,0.001182334,0.004387277,0.000999428,0.003361292,0.000988710,0.002119677
AmazonEcho,7,0,1479773999.843703,1479774285.180409,0.000946551,0.003190905,0.000950600,0.006963508,0.000143041,0.000290113,0.000344933,0.012815498,0.134219530,0.002752328,0.000613740,0.002092793,0.000121110,0.000256982,0.000261988,0.016926937,0.116549280,0.008839760,0.011106101,0.013365436,0.000130883,0.001069451,0.000123016,0.000256982,0.000320860,0.012216034,0.121631643,0.006998549,0.007271492,0.004369474,0.000412856,0.134056074,0.008367008,1.374724649,0.828249620,0.003802690,0.375914867,0.012530173,0.000751689,0.225114378,1.885429053,3.016647129,1.751213810,0.196535935,0.000124923,0.051021042,1.273527871,3.016442634,2.030135861,0.187741040,0.581390117,0.085101968,0.007666451,0.000660917,0.221192721,1.583956597,0.014463935,2.784115347,2.152219768,1.411520052,0.196500481,0.000122063,0.049654410,2.836207280,1.576829135,0.187698751,1.519926712,0.890590109,0.003886291,1.720289454,0.008232942,0.000114911,0.221183356,2.648080137,1.847213087,1.188179033,2.305619891,0.196498130,0.000123970,0.380003081,0.048256600,1.793710412,0.000041007,1.728639136,0.049276601,0.187680570,1.389116589,0.172801471,1.030659556,0.001888398,1.207100418,2.563748089,0.004875201,0.000113004,0.223818525,2.101893454,2.152520187,2.771737041,0.196503811,0.000163065,0.046866388,0.963599424,0.187668910,1.206331842,0.579695578,0.003952312,2.055910331,2.088712936,0.137554322,2.460448128,0.005839906,0.000113958,0.223219652,0.803093767,2.152419208,2.903435985,0.187924996,1.091303627,0.922812293,0.196446219,0.000113958,0.044566197,0.808782568,0.019073764,1.715976109,1.573959517,0.016928109,0.006011737
AmazonEcho,8,0,1479774286.346880,1479774395.926139,0.773099578,0.000040053,0.900099918,0.005790364,0.196537502,0.005031305,0.115535138,0.197106757,0.001683486,0.000110143,0.000080821,0.009799941,0.005746511,0.000107998,0.008404600,0.202876342,0.000111812,0.007007546,0.003211819,0.002011897,0.196604882,0.011543152,0.205465786,0.050922258,0.726433952,0.000118964,0.012261489,0.037244895,2.349188090,0.000149954,0.010824298,0.000117057,0.005069023,0.000102038,0.002553775,0.000111097,0.003795564,0.000097031,0.004869270,0.000106806,0.003213007,0.000105852,0.003225840,0.000097031,0.003645443,0.000100846,0.003695328,0.000097985,0.006018847,0.001604700,0.004115446,0.001371159,0.002318316,0.001407824,0.002481954,0.001346159,0.006742110,0.001378063,0.010024677,0.001190192,0.006671772,0.001023484,0.003153116,0.000962510,0.002817948,0.000955602,0.002895688,0.000958698,0.006490816,0.000132075,0.005282018,0.000895576,0.012236760,0.134252885,0.001923142,0.000568705,0.002221737,0.004003843,0.003206828,0.125725611,0.004624387,0.024281843,0.030935562,0.134234540,0.011024988,0.000538681,0.002414172,0.000127069,0.002933487,0.000542017,0.008622559,0.121079007,0.009103458,0.005761445,0.006948829,0.000128976,0.134042104,0.010917220,0.056800828,1.696854845,0.008057470,0.000550833,0.220958778,1.359572713,2.715043099,1.792475025,0.009875252,0.264454257,2.135889222,0.124836274,0.080882102,0.000124923,0.045388350,2.299798607,2.426888248,1.793446367,0.000039100,1.278064179,1.335894348,0.005618257,0.000413809,0.223070688,2.854569100,2.151840341,1.918246739,0.196576090,0.000120871,0.382518630
AmazonEcho,9,0,1479774395.968562,1479774600.855708,0.041547591,1.703238805,0.004293748,2.240388239,2.151567197,2.277304306,0.012887522,0.000117057,0.225417004,2.434863798,2.151443076,1.819412746,0.161799994,1.793207568,0.011173298,0.877483866,0.196500481,0.000116103,0.044392882,2.127636146,2.151773503,1.678387137,0.172682719,2.411511500,0.009117398,0.000469813,0.228151893,1.698394862,0.246010515,0.003468927,2.118089506,1.715325766,0.161262020,2.637383372,0.196990856,0.000122063,0.052078063,0.895532715,2.151385170,3.017026387,0.794860377,0.005840142,0.000142803,0.223054855,1.350981622,0.137500298,1.009942051,0.010221515,0.858549330,1.359993504,0.161346630,2.854285694,1.652462146,0.196577656,0.000130169,0.049605859,1.412396000,3.017223376,0.990406592,0.000154006,0.010538405,0.000105852,0.004056797,0.000115149,0.002915657,0.000102992,0.003787726,0.000097031,0.004099537,0.000101084,0.003507891,0.000109905,0.003846628,0.000096078,0.003763736,0.000101084,0.015110198,0.000111097,0.016709609,0.001599701,0.009552249,0.001401872,0.001974063,0.001385206,0.003042356,0.001379967,0.001953123,0.001369968,0.007677571,0.001177333,0.001593749,0.000962510,0.003330401,0.000990615,0.006355551,0.000975610,0.002744244,0.000950600,0.006495790,0.000128976,0.003007415,0.000522001,0.022081349,0.134400676,0.007781667,0.001744417,0.000102038,0.000117057,0.003135054,0.131100086,0.005601425,0.016413432,0.013160980,0.134206604,0.002329257,0.000659725,0.001894348,0.000125877,0.003003612,0.129618391,0.008464177,0.003473917,0.017677726,0.134219738,0.010553032,0.000413094,0.134030636,0.008442190
