device_label,window_id,time_block_id,start_timestamp,end_timestamp,iat_0,iat_1,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,iat_9,iat_10,iat_11,iat_12,iat_13,iat_14,iat_15,iat_16,iat_17,iat_18,iat_19,iat_20,iat_21,iat_22,iat_23,iat_24,iat_25,iat_26,iat_27,iat_28,iat_29,iat_30,iat_31,iat_32,iat_33,iat_34,iat_35,iat_36,iat_37,iat_38,iat_39,iat_40,iat_41,iat_42,iat_43,iat_44,iat_45,iat_46,iat_47,iat_48,iat_49,iat_50,iat_51,iat_52,iat_53,iat_54,iat_55,iat_56,iat_57,iat_58,iat_59,iat_60,iat_61,iat_62,iat_63,iat_64,iat_65,iat_66,iat_67,iat_68,iat_69,iat_70,iat_71,iat_72,iat_73,iat_74,iat_75,iat_76,iat_77,iat_78,iat_79,iat_80,iat_81,iat_82,iat_83,iat_84,iat_85,iat_86,iat_87,iat_88,iat_89,iat_90,iat_91,iat_92,iat_93,iat_94,iat_95,iat_96,iat_97,iat_98,iat_99,iat_100,iat_101,iat_102,iat_103,iat_104,iat_105,iat_106,iat_107,iat_108,iat_109,iat_110,iat_111,iat_112,iat_113,iat_114,iat_115,iat_116,iat_117,iat_118,iat_119,iat_120,iat_121,iat_122,iat_123,iat_124,iat_125,iat_126,iat_127
BelkinWemoMotionSensor,0,0,1479772820.228308,1479772836.537896,0.196557286,0.001969066,0.005551635,0.196585100,0.004030914,0.000113004,0.001354016,0.003652332,0.417101114,0.197075630,0.001947175,0.007061997,0.044098177,0.191968222,0.005564438,0.000292973,0.001510909,0.005867638,0.000095124,0.190096915,0.001745607,0.002397998,0.003435188,0.000102992,0.002665540,0.043763222,0.039784927,0.042075329,0.079352670,0.004459912,0.001571850,0.004664967,0.039499633,0.004331493,0.035579548,0.004854322,0.037350552,0.083470421,0.006070509,0.000867705,0.042987465,0.040279932,0.123936456,0.027536423,0.000113958,0.000082013,0.008184466,0.000113958,0.000077960,0.063660995,0.187783327,0.001579706,0.005128798,0.187847150,0.003982947,0.000111097,0.001998810,0.007354093,0.416141202,0.188392145,0.007310307,0.006880401,0.043620580,0.182873780,0.003179022,0.001517813,0.001559709,0.005958413,0.000089880,0.180085712,0.001494006,0.002490753,0.005051232,0.000141134,0.001836282,0.041363458,0.040755235,0.041237863,0.070916933,0.006872350,0.007688218,0.006388717,0.027885436,0.014963644,0.026222995,0.015095637,0.026487955,0.084471579,0.006255570,0.000808627,0.041762562,0.040928953,0.115111089,0.026231821,0.000113958,0.000082967,0.005935424,0.001257344,0.385316103,0.003517633,2.360577928,0.187762579,0.001899345,0.004893944,0.187801506,0.004003843,0.000102992,0.002063052,0.000104898,0.413459035,0.188279575,0.002381348,0.012628822,0.038311751,0.186446263,0.001948127,0.001034440,0.002718327,0.003065413,0.000098939,0.182779851,0.002534751,0.000211932,0.003043307,0.000112051,0.001223292,0.043701831,0.040445947
BelkinWemoMotionSensor,1,0,1479772836.580300,1479772886.682746,0.041529752,0.071002436,0.002224592,0.002067811,0.001574706,0.042443528,0.000615884,0.039654091,0.000159012,0.041547821,0.073053436,0.003433050,0.000892717,0.042366745,0.039698316,0.115647494,0.024786208,0.000113004,0.000079152,0.005513699,0.000852698,2.520485795,0.000144947,0.696761148,0.000113004,0.174889161,0.594729733,0.000118964,1.290960607,1.609804056,0.196975193,0.005276088,0.004537762,0.196656589,0.004077693,0.000103946,0.002510017,0.000107044,0.410391556,0.197146888,0.002470063,0.007017252,0.042984723,0.192236390,0.005655004,0.004352620,0.000220990,0.002646518,0.000097985,0.194085440,0.000162827,0.002686465,0.000503890,0.001281156,0.043178149,0.040298023,0.067262332,0.059251510,0.001122322,0.003060421,0.000115864,0.040313366,0.004486969,0.035955895,0.006961615,0.060707419,0.063185042,0.000115149,0.001625646,0.043110329,0.042661732,0.121759148,0.040705335,0.000118964,0.000082013,0.005274902,0.006164110,0.010735143,0.002609660,0.180139874,0.006159135,0.000848649,0.000919396,0.967373170,0.203111440,0.012255601,0.559876243,0.001551854,3.145781510,0.187744399,0.002111827,0.004978403,0.187955817,0.003927139,0.000095124,0.002444853,0.002239578,0.406391968,0.188324407,0.001865315,0.008372682,0.042620837,0.184108337,0.003799601,0.000967511,0.003003612,0.005397271,0.001294252,0.178787759,0.003947325,0.000131836,0.005298144,0.001077309,0.002943709,0.041846022,0.040147329,0.041159157,0.068851304,0.007188172,0.002054011,0.003136004,0.039013873,0.003346559,0.036947847,0.004704834,0.036602901,0.075567459,0.005041268
BelkinWemoMotionSensor,2,0,1479772886.683551,1479772902.510051,0.000804816,0.041589903,0.041486523,0.114697276,0.024641997,0.000118010,0.000082967,0.006338730,0.001626836,1.802775575,0.187748352,0.006246567,0.005138761,0.187790638,0.004070806,0.000113004,0.002174634,0.001925997,0.419645521,0.188327567,0.001755603,0.006629852,0.044674960,0.180898218,0.004045636,0.000185949,0.004350721,0.002553538,0.000104184,0.181655392,0.000119918,0.003109384,0.003826678,0.000102992,0.002874768,0.042831464,0.041146801,0.041934275,0.068620711,0.002357325,0.004232971,0.002260512,0.040861667,0.001538761,0.039660966,0.001970256,0.040027077,0.070817206,0.006322857,0.000900578,0.041638159,0.041597679,0.114535913,0.026095483,0.000117057,0.000083919,0.008593011,0.000116103,0.539796651,1.164189641,0.001807248,1.146652357,0.196523595,0.001839375,0.008770279,0.196614871,0.004076506,0.000106090,0.005229366,0.000882475,0.415452490,0.197169008,0.001551854,0.007398586,0.042833291,0.192731417,0.003334441,0.001621599,0.000942739,0.008226085,0.000097985,0.187426794,0.002539745,0.000736681,0.007513833,0.000109905,0.002123721,0.047222367,0.035773260,0.041547821,0.077053685,0.004706021,0.004865948,0.004475102,0.040596597,0.002573751,0.035791664,0.003857554,0.037891986,0.081375422,0.009184728,0.000833640,0.040020435,0.041891979,0.125228243,0.050697918,0.000116818,0.000082013,0.009216384,0.001042537,0.421289913,0.006442255,0.003159058,0.040238252,0.050558302,0.006376635,0.003635229,0.039768660,0.060541817,0.001362111,0.001879117,0.000920587,0.006447230,0.000031947,0.000169025,0.002615604,0.000039100,0.001528763
BelkinWemoMotionSensor,3,0,1479772902.510093,1479772904.682954,0.000041961,0.000142087,0.000532724,0.000166164,0.000706661,0.002818899,0.000068186,0.000062941,0.000060079,0.000911535,0.001934087,0.000066040,0.001268060,0.000115149,0.002039735,0.005090134,0.001314014,0.017237725,0.002631536,0.001538761,0.001700623,0.005793209,0.000619696,0.003128161,0.000088926,0.000064133,0.000057934,0.000027895,0.000174031,0.000319907,0.001257344,0.000062941,0.012292106,0.000113004,0.000049113,0.000034808,0.000010014,0.000195961,0.000069139,0.002042828,0.000194054,0.000061033,0.002624403,0.002082799,0.000114195,0.000118964,0.000490784,0.000157106,0.001369015,0.002091841,0.001177333,0.000073907,0.003753998,0.000064848,0.000741922,0.000412856,0.008665340,0.000045060,0.000307751,0.000121110,0.002150606,0.002765166,0.000632801,0.000130169,0.003424971,0.000079152,0.000043868,0.000033139,0.007396457,0.000067947,0.003515970,0.000078914,0.000061987,0.000922492,0.147841541,0.000854604,0.008669359,0.001517813,0.001215196,0.003181873,0.000087019,0.000072953,0.000060079,0.000914633,0.004539660,0.000067947,0.014236200,0.000764792,0.149514972,0.003386241,0.000260081,0.001398062,0.000033854,0.000256029,0.000644714,0.000420006,0.000477915,0.001808438,0.000033854,0.000231954,0.041639989,0.051605169,0.653363670,0.002947750,0.000274859,0.001283298,0.000035047,0.000234814,0.000756930,0.000372817,0.002121818,0.000036954,0.000772654,0.000217891,0.042383199,0.050124373,0.447022306,0.003727870,0.000292973,0.001340207,0.000035047,0.000253884,0.000646859,0.000365906,0.001266154,0.000313948,0.000465762,0.000202159
BelkinWemoMotionSensor,4,0,1479772904.725472,1479772942.199843,0.041638845,0.050140699,0.654289380,0.003097263,0.000272952,0.001558758,0.000136128,0.000208833,0.000813630,0.000394982,0.000458851,0.001478056,0.000631609,0.000203112,0.042644597,0.050165415,1.949077695,0.196627015,0.000838881,0.005669703,0.196621334,0.004070806,0.000118010,0.002154650,0.001893158,0.410327971,0.174733621,0.000150908,0.026485169,0.001401158,0.010924059,0.040196112,0.192508813,0.003293568,0.001827239,0.000335876,0.005438296,0.000089880,0.190192328,0.001577563,0.000241012,0.006339914,0.002332350,0.042183449,0.040846332,0.043984332,0.075531424,0.008651396,0.007941340,0.000100131,0.034971248,0.005721620,0.034991508,0.005701707,0.038519617,0.090868475,0.000113958,0.007332082,0.029411315,0.000110859,0.003970123,0.040491053,0.132666453,0.072418287,0.000148047,0.000088926,0.008027670,0.036444752,0.165346780,0.416420767,0.000112051,0.002746146,1.673314678,0.194254098,0.001119463,0.005329686,0.194244478,0.003967985,0.000107998,0.003418319,0.004493853,0.419373283,0.194670025,0.002486711,0.016177459,0.042265273,0.189682632,0.005851994,0.002329257,0.000234814,0.008762480,0.000109190,0.186555083,0.000194769,0.003234870,0.005589333,0.000113004,0.003169040,0.042858190,0.043314232,0.038940037,0.074755818,0.003323510,0.005375455,0.001741561,0.041321366,0.000526766,0.041181350,0.001702528,0.038939807,0.077839422,0.006941015,0.000853413,0.041141996,0.041200569,0.122298118,0.043054608,0.000117057,0.000107998,0.006266469,0.000681645,0.193418187,0.000790521,3.038132932,0.187817116,0.006257465,0.000462902,0.187806446
BelkinWemoMotionSensor,5,0,1479772942.203857,1479772978.295581,0.004005980,0.000107998,0.001916240,0.000099892,0.419531118,0.188354229,0.001031344,0.007208056,0.044049356,0.181950588,0.007330189,0.008966656,0.000181896,0.008113048,0.000109905,0.180679532,0.000143995,0.002330209,0.005815965,0.000108951,0.001863412,0.043328616,0.041530438,0.040336494,0.068413442,0.003204927,0.004414337,0.004467032,0.039164739,0.003963236,0.037720495,0.004036851,0.036458316,0.071400319,0.008693940,0.001389015,0.039033363,0.002883802,0.041622608,0.114297753,0.023287725,0.000113958,0.000084158,0.005890628,0.001082311,1.364642170,0.001534714,1.148080951,0.196509688,0.027959398,0.006237563,0.196579420,0.003950175,0.000114911,0.004273805,0.001244248,0.412817386,0.197068190,0.001284013,0.007523772,0.043190708,0.191413360,0.006227612,0.000228856,0.000137082,0.003335391,0.000087972,0.193350593,0.000143041,0.002599435,0.000906772,0.000099892,0.001354016,0.049606993,0.034559982,0.042076243,0.082275479,0.002078993,0.001047301,0.000911535,0.044375777,0.003749960,0.034593608,0.001948127,0.040260695,0.085045692,0.000711903,0.001543760,0.043124715,0.040080906,0.124060929,0.026728703,0.000116818,0.000082013,0.008939955,0.000118010,0.000070093,3.207399577,0.000150193,0.694007263,0.000118010,0.252557088,0.075689038,0.194571113,0.001023484,0.006023824,0.194661783,0.003972022,0.000111097,0.003873466,0.001296157,0.175557086,0.000118010,0.288928284,0.195129915,0.004692020,0.008222065,0.042079215,0.191756076,0.003046398,0.000123016,0.000590865,0.004046587,0.000091072,0.190486395,0.000116103,0.004622251,0.000110143
BelkinWemoMotionSensor,6,0,1479772978.296549,1479773008.875952,0.000967511,0.005154653,0.044183267,0.038198164,0.041200569,0.080037793,0.002514774,0.002476960,0.001492816,0.042910952,0.000399033,0.037880279,0.004673035,0.036642435,0.069904773,0.013348497,0.003805777,0.000841502,0.042682065,0.042355318,0.120243876,0.026121034,0.000113958,0.000082013,0.038428997,0.000891526,0.080948508,0.766160613,0.001560900,2.988079669,0.196544750,0.001934325,0.004856220,0.196598223,0.004006931,0.000114911,0.001727519,0.000105137,0.418683343,0.197132206,0.003785826,0.007544359,0.045559215,0.189706693,0.004336715,0.000228856,0.004075793,0.008316411,0.000116818,0.185882785,0.000194054,0.003153829,0.009271897,0.000116103,0.003064224,0.042498140,0.042605300,0.038991860,0.074998937,0.003801739,0.008509803,0.003629289,0.039196605,0.002254566,0.040415265,0.005153704,0.033976182,0.078548505,0.011963285,0.002771111,0.038821705,0.045395641,0.123033299,0.026067377,0.000115864,0.000082013,0.005482874,0.002054011,1.803087066,0.185411689,0.001769645,0.005228180,0.185444964,0.003964186,0.000102992,0.001611840,0.000101800,0.419100500,0.185903374,0.001387111,0.007389594,0.043973837,0.180084120,0.004306566,0.000232908,0.002142755,0.003153116,0.001082311,0.179769250,0.000231001,0.003036177,0.002253614,0.000926542,0.001552806,0.043532475,0.042081958,0.039688005,0.068513408,0.003180922,0.001335206,0.001623504,0.042147333,0.002410127,0.039761786,0.002093982,0.037677101,0.071480232,0.002762313,0.000880569,0.043811145,0.041759818,0.109836900,0.029103361,0.000115864,0.000080106,0.005929262,0.000852698,0.064071872
BelkinWemoMotionSensor,7,0,1479773009.093185,1479773025.485107,0.196580203,0.001026580,0.005783254,0.196655805,0.004052760,0.000107998,0.002150606,0.000097985,0.418067484,0.197154327,0.005515595,0.004044924,0.041348131,0.194630579,0.002797977,0.001270202,0.000185949,0.005309054,0.000094886,0.191928670,0.000113958,0.002962488,0.002496937,0.000102038,0.002036880,0.046502774,0.035531229,0.041699447,0.082672415,0.002366126,0.002048062,0.001399968,0.043974750,0.001442108,0.035595883,0.006272155,0.035615211,0.084834573,0.003274557,0.001697767,0.042517106,0.043013500,0.122033523,0.032107990,0.000116103,0.000082967,0.008987450,0.000113004,0.410572005,0.001542808,2.357391407,0.196501460,0.002318316,0.004489818,0.196578636,0.004032813,0.000111097,0.001910054,0.000390930,0.411178747,0.197074650,0.002089938,0.006607115,0.043162850,0.191708249,0.005803165,0.000098939,0.000225042,0.006232587,0.000100846,0.190940137,0.000111097,0.006398429,0.000111097,0.000119918,0.001574706,0.041826129,0.041298260,0.037743683,0.088139037,0.001333063,0.000610880,0.000758598,0.040731201,0.003750911,0.037694550,0.004338615,0.033516090,0.089953026,0.000481966,0.001351159,0.043261491,0.041937248,0.079331307,0.046377822,0.025897563,0.000114195,0.000079867,0.007115736,0.000107998,0.063927402,0.194572879,0.001197098,0.005603321,0.194590936,0.004011917,0.000102038,0.002014990,0.000826732,0.407367308,0.195155414,0.002017131,0.007337999,0.042684806,0.191058316,0.004524708,0.000165925,0.003517870,0.002882852,0.000077006,0.188985988,0.003661359,0.000522715,0.002287392,0.000102038,0.002481003,0.047044735,0.035094871
BelkinWemoMotionSensor,8,0,1479773025.530418,1479773041.751231,0.044314424,0.077520214,0.003770862,0.000837690,0.002464831,0.042532643,0.002489803,0.035114207,0.007954349,0.036681048,0.080990724,0.003078248,0.004148449,0.038758175,0.045198998,0.121157793,0.027597654,0.000114911,0.000080106,0.005577241,0.001321158,2.404338561,0.196506358,0.001839375,0.006346784,0.196536719,0.003981046,0.000125877,0.006031882,0.001747511,0.412532708,0.196996730,0.001588751,0.007053948,0.043601408,0.129750326,0.000145901,0.068628279,0.003974160,0.000183088,0.003610285,0.001865315,0.000103946,0.191640538,0.000138988,0.005522709,0.000101084,0.001409967,0.000981564,0.043959463,0.040056855,0.041961253,0.083804179,0.000706661,0.003012644,0.002973423,0.038442534,0.003471066,0.036795727,0.004645983,0.037409578,0.087205570,0.002772062,0.001064449,0.040957788,0.041257996,0.124928231,0.031370733,0.000114911,0.000082013,0.005797238,0.009236227,0.000118964,0.219853308,0.566441051,0.000116818,0.003444217,1.080820559,0.039858014,0.009872183,0.054783676,0.003463938,0.031135260,0.015210705,0.059918429,0.001178286,0.000925590,0.000178083,0.000150908,0.000980611,0.002987448,0.000173077,0.000149001,0.000156867,0.000349937,0.008311445,0.000114911,0.000105137,0.000147809,0.000086065,0.000107998,0.000055073,0.000253884,0.000368050,0.000065802,0.000069139,0.000202873,0.000537013,0.000146855,0.002735209,0.000042199,0.000028849,0.000025988,0.000010014,0.000152099,0.003242713,0.003060184,0.000744781,0.001330206,0.001878165,0.000258889,0.000125162,0.001245199,0.000312995,0.000066994,0.000053882,0.002994579,0.000068901
BelkinWemoMotionSensor,9,0,1479773041.753084,1479773045.547469,0.001851274,0.000529865,0.000123970,0.016362536,0.000958461,0.020667087,0.001190192,0.001036345,0.001066593,0.001445916,0.001216148,0.000409042,0.000964415,0.001332110,0.000856748,0.043793801,0.089645073,0.000830782,0.001640642,0.001349968,0.000849601,0.001678726,0.000957507,0.000066040,0.001409014,0.001038489,0.002690270,0.004675171,0.000082967,0.000033854,0.000056026,0.000445982,0.000076053,0.000061987,0.002327116,0.000071046,0.002356374,0.000056026,0.000048875,0.000047921,0.001235437,0.004722632,0.001733469,0.000091072,0.356753071,0.003476055,0.000265802,0.000751689,0.000667826,0.000249116,0.000654722,0.000387832,0.000556791,0.003792001,0.000025988,0.000011921,0.000010967,0.000263894,0.039577553,0.050182422,0.654267567,0.003513831,0.000288921,0.001265202,0.000036954,0.000265086,0.000639710,0.000373055,0.000741684,0.001544712,0.000358041,0.000195961,0.041525635,0.050122785,0.066647804,0.185937424,0.030613741,0.005856735,0.185854474,0.004025927,0.000102992,0.002428918,0.005960309,0.368991283,0.006317881,0.000277004,0.001444012,0.000430015,0.000288921,0.000584670,0.000373055,0.004241044,0.036195985,0.000023842,0.000012159,0.000331824,0.000298932,0.002337344,0.017678662,0.030809574,0.160019637,0.002288582,0.006974399,0.042116703,0.180309506,0.003180922,0.000114911,0.003711243,0.004479849,0.000098939,0.178739307,0.000115149,0.002627494,0.005541677,0.000103946,0.010282872,0.045423665,0.036713683,0.039593595,0.061924589,0.003170941,0.012609282,0.003333253,0.042023665,0.000302984,0.023348285,0.013713550,0.004466795
