device_label,window_id,time_block_id,start_timestamp,end_timestamp,iat_0,iat_1,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,iat_9,iat_10,iat_11,iat_12,iat_13,iat_14,iat_15,iat_16,iat_17,iat_18,iat_19,iat_20,iat_21,iat_22,iat_23,iat_24,iat_25,iat_26,iat_27,iat_28,iat_29,iat_30,iat_31,iat_32,iat_33,iat_34,iat_35,iat_36,iat_37,iat_38,iat_39,iat_40,iat_41,iat_42,iat_43,iat_44,iat_45,iat_46,iat_47,iat_48,iat_49,iat_50,iat_51,iat_52,iat_53,iat_54,iat_55,iat_56,iat_57,iat_58,iat_59,iat_60,iat_61,iat_62,iat_63,iat_64,iat_65,iat_66,iat_67,iat_68,iat_69,iat_70,iat_71,iat_72,iat_73,iat_74,iat_75,iat_76,iat_77,iat_78,iat_79,iat_80,iat_81,iat_82,iat_83,iat_84,iat_85,iat_86,iat_87,iat_88,iat_89,iat_90,iat_91,iat_92,iat_93,iat_94,iat_95,iat_96,iat_97,iat_98,iat_99,iat_100,iat_101,iat_102,iat_103,iat_104,iat_105,iat_106,iat_107,iat_108,iat_109,iat_110,iat_111,iat_112,iat_113,iat_114,iat_115,iat_116,iat_117,iat_118,iat_119,iat_120,iat_121,iat_122,iat_123,iat_124,iat_125,iat_126,iat_127
PhilipsHue,0,0,1479772804.437170,1479773042.410350,0.241849862,1.792270508,0.000115864,3.111150656,0.000341834,0.241880562,1.096046317,0.245444935,0.000230048,0.708360938,0.050198521,0.050207364,0.050226184,0.050197841,0.050168136,3.765769062,0.241895351,1.793368850,0.000115864,1.235588888,0.000403085,0.241862405,0.804007642,0.050151130,0.050173126,0.050235706,0.050148183,0.050226410,1.444491800,0.000041961,2.662624848,0.003386241,0.000260081,0.001398062,0.000033854,0.000256029,0.000644714,0.000420006,0.000477915,0.001808438,0.000033854,0.000231954,0.041639989,0.051605169,0.653363670,0.002947750,0.000274859,0.001283298,0.000035047,0.000234814,0.000756930,0.000372817,0.002121818,0.000036954,0.000772654,0.000217891,0.042383199,0.050124373,0.447022306,0.003727870,0.000292973,0.001340207,0.000035047,0.000253884,0.000646859,0.000365906,0.001266154,0.000313948,0.000465762,0.000202159,0.041638845,0.050140699,0.654289380,0.003097263,0.000272952,0.001558758,0.000136128,0.000208833,0.000813630,0.000394982,0.000458851,0.001478056,0.000631609,0.000203112,0.042644597,0.050165415,3.253393768,0.241810550,1.792381270,0.000121110,1.850604935,0.050171085,0.050221649,0.050223462,0.050185369,0.050221422,2.525332085,0.245353531,0.000234814,2.070880523,0.000337782,0.241945704,3.510243103,0.050171085,0.050174939,0.051721092,0.050212806,0.050187410,2.641999069,0.241724992,1.746690785,0.000056026,0.613953042,0.000341834,0.241800440,1.746112487,0.000118010,3.266489908,0.003476055,0.000265802,0.000751689,0.000667826,0.000249116,0.000654722,0.000387832,0.000556791,0.003792001,0.000025988
PhilipsHue,1,0,1479773042.410362,1479773168.410856,0.000011921,0.000010967,0.000263894,0.039577553,0.050182422,0.654267567,0.003513831,0.000288921,0.001265202,0.000036954,0.000265086,0.000639710,0.000373055,0.000741684,0.001544712,0.000358041,0.000195961,0.041525635,0.050122785,0.679705204,0.006317881,0.000277004,0.001444012,0.000430015,0.000288921,0.000584670,0.000373055,0.004241044,0.036195985,0.000023842,0.000012159,0.000331824,0.000298932,0.002337344,0.047956441,0.654236955,0.023723210,0.000292020,0.001311157,0.000133982,0.000197867,0.000663776,0.000369004,0.000371864,0.000373055,0.003227741,0.000037908,0.000052213,0.000173792,0.020018331,0.050216887,1.417383514,0.050155892,0.050173126,0.050645564,0.050211899,0.050310980,2.266113320,0.000227902,0.000811724,0.274410562,0.206823044,0.241835073,1.645168292,0.000136128,2.443840783,0.245254098,0.000056980,0.030347791,1.444937249,0.000332062,0.241969101,3.197557680,0.050187410,0.050206231,0.050189224,0.050209178,0.050206231,3.136840012,0.241788646,1.745661774,0.000056026,2.335556982,0.000384972,0.241900218,1.746515019,0.000109905,2.405324345,0.050224369,0.050445870,0.050174032,0.050222556,0.050227998,2.735115359,0.050179701,0.032374165,0.000287015,0.003775850,0.000317762,0.000251976,0.000645905,0.000355896,0.002219596,0.000118964,0.004255050,0.000202873,0.006248462,0.654240549,0.007587187,0.000272952,0.004797377,0.000037908,0.000261988,0.000640903,0.000361854,0.003100353,0.003550656,0.000031947,0.000242919,0.030066501,0.050169270,0.343594669,0.006673667,0.000294881,0.001572801,0.000036954,0.000250070,0.000706661
PhilipsHue,2,0,1479773168.411228,1479773329.270914,0.000371864,0.000850792,0.001172332,0.001018482,0.000203827,0.037619469,0.050131175,0.654285290,0.002893787,0.000270807,0.001636834,0.000034808,0.000265086,0.000702611,0.000358994,0.002407273,0.000599681,0.000031947,0.000023127,0.000274859,0.001494959,0.040782016,0.050163375,2.681086595,0.241747833,1.745693731,0.000060079,1.786033579,0.245435608,0.000233146,1.541829294,0.000335876,0.241844433,0.723971203,0.000115864,2.219587218,0.050143647,0.050241375,0.050195800,0.050199655,0.050193079,3.617152114,0.241708516,1.745766337,0.000056980,2.154988386,1.142295481,0.000360901,0.241817663,0.158936192,0.050145234,0.050196027,0.050207137,0.050267222,0.050132989,1.667429443,0.000117057,3.738393258,0.241805120,1.746075344,0.000050067,0.748033436,0.050176753,0.050232078,0.050154985,0.050191039,0.050196707,1.332062058,0.245417514,0.000229094,1.792824077,0.000117772,1.438586500,0.006483947,0.241952817,1.695120240,0.050112127,0.050176753,0.179907877,0.000312041,0.001553758,0.003784876,0.000244826,0.000650909,0.000355896,0.001787494,0.000033854,0.000262941,0.000197153,0.539888781,0.003054241,0.000272952,0.005209443,0.000126831,0.000237198,0.000697608,0.000451940,0.001694435,0.000036000,0.000395935,0.000194054,0.038354888,0.050120744,0.599768483,0.003366282,0.000286061,0.001734421,0.000036000,0.000272952,0.000709759,0.000369958,0.002213649,0.002593489,0.000024080,0.000246018,0.038843721,0.050118703,0.653463647,0.008249967,0.000285823,0.003058282,0.000649956,0.000247924,0.000668779,0.000351844,0.002444139,0.007612741,0.000037192
PhilipsHue,3,0,1479773329.271220,1479773574.959435,0.000305844,0.027126728,0.050293749,3.602594041,0.050183556,0.050176753,0.050197841,0.050209178,0.050202376,1.198037317,0.241770673,1.745420193,0.000054120,1.938553555,0.000380920,0.241750267,1.745934165,0.000118010,3.114461616,0.000225042,0.001241151,0.275723963,1.738644513,0.000119918,2.035387367,0.050174939,0.050151130,0.050235027,0.050157706,0.050224369,2.150175256,0.241878129,2.225283663,0.245370694,0.000091787,0.038506083,1.785704536,0.000118964,2.019312199,0.000491975,0.241729673,3.187933902,0.050159747,0.050335693,0.050218701,0.050170177,0.050174939,3.146804487,0.241772920,1.745378654,0.000056980,2.270866641,0.050177887,0.050102603,0.091949035,0.000302984,0.001511861,0.005876645,0.000245064,0.000605639,0.000356134,0.001508766,0.002058769,0.005048385,0.000215984,0.592489495,0.005304785,0.000271999,0.001297109,0.000034093,0.000253884,0.000641855,0.000374009,0.001187096,0.000933688,0.000125877,0.000196199,0.040052044,0.051659283,0.228242605,0.003060184,0.000266993,0.001333063,0.000034093,0.000257936,0.000712856,0.000416907,0.000544877,0.001449963,0.000422866,0.000191909,0.042871665,0.050152264,0.653435987,0.002860979,0.000274859,0.002241482,0.000040053,0.000251976,0.000739777,0.000367812,0.001559709,0.000102992,0.002049966,0.000231001,0.039938654,0.050138885,2.262380079,0.000346124,0.241727426,1.745888445,0.000118964,1.210607677,0.050222329,0.050187410,0.050211899,0.050149316,0.050260421,3.422564117,0.245284508,0.000231954,1.791893293,0.000115149,1.500763457,0.241819161,2.622296450,0.050310754,0.050218701
PhilipsHue,4,0,1479773575.010876,1479773673.476654,0.050161561,0.050196934,0.050136845,3.018902117,0.000338974,0.241736038,1.745731054,0.000056980,3.331126857,0.050150223,0.050210085,0.050209178,0.050214847,0.050193079,2.694652453,0.241758692,1.745520911,0.000058172,1.705586281,0.002914707,0.000266040,0.001556615,0.000036000,0.000266993,0.000729772,0.000365906,0.002398236,0.000036954,0.000420958,0.000202873,0.042455867,0.050122558,0.653444918,0.003981996,0.000292020,0.001228293,0.000033854,0.000251976,0.000703802,0.000373055,0.001611603,0.000036954,0.000576807,0.000240059,0.041288881,0.050109180,0.541630435,0.005360752,0.000292735,0.003259823,0.000035047,0.000274859,0.000743827,0.000351844,0.000970608,0.000330870,0.000716668,0.000193100,0.038384716,0.050096934,0.490173878,0.008679286,0.000300839,0.005269210,0.001335920,0.000231001,0.000331108,0.000362807,0.005054315,0.000164019,0.000031947,0.000282009,0.237238806,0.003103205,0.000277004,0.000950600,0.000468859,0.000246972,0.000591818,0.000369004,0.001596606,0.000033139,0.000652577,0.000202159,0.021189850,0.000303938,0.001049444,0.002395143,0.000230048,0.000465762,0.001699672,0.000346839,0.000601826,0.003672286,0.001105413,0.000190002,0.010824062,0.050135030,0.446955672,0.050379447,0.050160654,0.654208324,0.050140699,0.050195800,0.228176375,0.050141606,0.050129361,0.654328418,0.050150223,0.050125279,0.479378954,0.050203510,0.050147275,0.653393441,0.050312794,0.050163375,0.307959594,0.050134124,0.050143420,0.653459926,0.050157933,0.050166323,1.778746683,0.000344933,0.241970037,1.746472985,0.000117057,1.636332204
PhilipsHue,5,0,1479773673.754717,1479773899.308568,0.245345697,0.000229810,2.725122309,0.050224369,0.050210085,0.050193986,0.050169270,0.050245230,3.139658924,0.241772920,1.791770476,0.000113004,2.849102558,0.000351844,0.241716380,1.745734216,0.000032901,1.335313961,0.050159520,0.050252031,0.050189224,0.050239561,0.050187184,2.606212070,0.000221943,0.001234246,0.272690918,1.739145476,0.000114911,3.063847550,0.241782280,1.746222201,0.000039100,0.692138161,0.000341834,0.241782468,2.104408624,0.050170177,0.050195800,0.050232078,0.050238655,0.050201469,0.873561100,0.245009856,0.000182135,0.034624469,3.337727193,0.004109747,0.000275812,0.002153698,0.001852227,0.000279149,0.000584670,0.000394028,0.002746146,0.000035047,0.000257936,0.000209071,0.037879360,0.050105551,0.653383393,0.006229744,0.000295833,0.001325206,0.001037536,0.000247924,0.000595631,0.000415001,0.001810341,0.000857700,0.000031947,0.000231001,0.037755163,0.050107365,0.755882579,0.003246753,0.000300839,0.001516860,0.000045060,0.000243872,0.000707852,0.000369004,0.001289966,0.000943693,0.000940596,0.000447889,0.000017881,0.000203112,0.040540048,0.050168136,0.653450623,0.003287627,0.000275812,0.001446155,0.000033854,0.000263894,0.000674973,0.000387832,0.003045447,0.000020981,0.000025034,0.000273905,0.042126990,0.050153171,1.953243178,0.241680244,1.746264620,0.000054834,2.498765172,0.000377107,0.241712448,0.676538512,0.050217794,0.050610433,0.050276518,0.050210085,0.050228224,1.505700504,0.000114195,3.738297824,0.241719562,1.746833936,0.000044822,1.066775890,0.050199655,0.050154985,0.050201469,0.050249084
PhilipsHue,6,0,1479773899.360048,1479774107.509394,0.050198748,2.717062334,0.245867332,0.000234100,1.615903761,0.000356849,0.241756445,0.530135753,0.000118010,3.497436919,0.050204416,0.050215753,0.050246363,0.050164509,0.050194893,2.622835890,0.103747147,0.050191265,0.020801131,0.000372817,0.004387515,0.000037908,0.000287969,0.000645668,0.000358994,0.008250913,0.000123970,0.007043058,0.000241966,0.008655414,0.059600188,0.622026528,0.009379842,0.000282009,0.009577044,0.000038861,0.000277004,0.000690698,0.000393075,0.007466033,0.000035047,0.000026941,0.000261034,0.023041486,0.050156798,0.413798306,0.003096074,0.000286061,0.001313063,0.000064133,0.000227902,0.000694749,0.000363999,0.002107781,0.000020981,0.000539872,0.000190002,0.042688690,0.050159747,0.654305987,0.002922789,0.000268900,0.001284251,0.000034808,0.000266040,0.000700705,0.000353989,0.001460915,0.000339927,0.001102555,0.000216937,0.042416563,0.050137751,1.137728193,0.000058887,1.598921815,0.000410950,0.241846867,1.746036245,0.000118010,3.353119404,0.050176753,0.050174032,0.050193760,0.050260647,0.050206231,2.651560056,0.241829457,1.745258357,0.000041007,1.526998680,0.000341119,0.241945704,1.746613174,0.000117057,0.681414589,0.245295701,0.000246972,3.194270290,0.050159747,0.050171085,0.050208271,0.050173126,0.050180608,2.840108509,0.241794262,1.745816222,0.000038861,0.688703811,0.000328010,0.241882060,1.745440462,0.000117057,2.802960654,0.000225042,0.000998475,0.272709070,2.104730552,0.013940465,0.000317999,0.002582550,0.005305970,0.000247924,0.000622794,0.000412856,0.005175763,0.000034808,0.007199061
PhilipsHue,7,0,1479774107.509650,1479774233.546516,0.000256029,0.015124992,0.050152037,0.653407954,0.003520958,0.000273905,0.001550664,0.000034093,0.000272952,0.000703802,0.000369004,0.001777261,0.000630895,0.000020981,0.000025988,0.000251976,0.001306158,0.041535241,0.050140699,0.705630969,0.003387192,0.000267946,0.001267345,0.000465762,0.000246972,0.000582763,0.000372102,0.000893432,0.001459963,0.001022531,0.000191909,0.040675575,0.050103510,0.654308093,0.002922789,0.000281056,0.001561614,0.000036000,0.000272952,0.000706900,0.000364952,0.001527810,0.000433828,0.000020027,0.000220990,0.043311264,0.050115075,0.989968238,0.050249990,0.052040266,0.050184236,0.050215981,0.050144327,2.623150127,0.241735289,2.835276270,0.000334922,0.241715630,1.745606804,0.000108951,1.976700105,0.245070129,0.271405695,0.037316789,2.441327743,0.050141606,0.050173126,0.050314608,0.050236840,0.050188090,3.196100223,0.241784715,1.746350574,0.000040053,3.178037578,0.050294657,0.050186503,0.050224369,0.050171991,0.050200561,1.561837795,0.000353989,0.241704585,1.746591931,0.000082967,2.083202606,0.003334441,0.000272952,0.001298061,0.000036000,0.000252930,0.000795763,0.000373770,0.000109190,0.000651624,0.001734659,0.000724768,0.000033854,0.000221943,0.042044696,0.050183556,0.654452090,0.002887606,0.000272952,0.001337111,0.000041007,0.000261988,0.000725722,0.000366144,0.000627798,0.001939085,0.000043868,0.000215984,0.042692573,0.050157933,0.379329806,0.003169040,0.000274859,0.001328063,0.000044106,0.000256982,0.000664728,0.000441930,0.000467907,0.001990958,0.000031947,0.000225042,0.042792175
PhilipsHue,8,0,1479774233.597981,1479774430.021222,0.050184462,0.653327820,0.003190905,0.000273905,0.001458059,0.000033854,0.000251976,0.000757884,0.000374724,0.000691890,0.002702396,0.000021935,0.000030994,0.000011921,0.000282963,0.041836647,0.050114848,3.474075041,0.242166180,1.741308450,0.025877351,0.000033854,0.024950165,0.050348162,0.050035931,0.050171085,0.050344308,1.138372929,0.245121816,0.000061033,0.000176891,1.792110082,0.000118964,1.988789548,0.000404991,0.241917439,3.649445293,0.050501180,0.050160654,0.050202376,0.051800103,0.050254752,2.202389667,0.241741467,1.792805103,0.000120871,2.439224771,0.000348030,0.241688858,1.745459316,0.000042914,1.826605084,2.916937957,0.003497913,0.000273905,0.001278299,0.000036000,0.000258889,0.000748593,0.000415953,0.000522001,0.002211508,0.000035047,0.000234814,0.042403309,0.050159520,0.654239557,0.003001472,0.000284869,0.001310205,0.000035047,0.000251976,0.000673782,0.000361854,0.001959073,0.000020027,0.000893671,0.000210978,0.042438501,0.050171085,0.626396615,0.003179973,0.000302030,0.000764792,0.000428823,0.000225995,0.000615884,0.000387832,0.001532810,0.001923142,0.000031947,0.000234100,0.041805779,0.050132989,0.654336721,0.003105106,0.000286061,0.001296157,0.000035047,0.000253884,0.000724768,0.000375915,0.002534751,0.000048160,0.000023842,0.000267946,0.042634088,0.050138885,0.540918591,0.050197841,0.050154077,0.050219608,0.050185369,0.050237520,2.722891138,0.241730421,0.227450403,0.245238426,0.000236960,1.700304428,0.000104898,2.950819317,0.000354942,0.241858474,2.676961941,0.050205323,0.050190131,0.050203510
PhilipsHue,9,0,1479774430.072751,1479774681.632463,0.050245230,0.050187184,2.904820053,0.000232908,0.001104460,0.274033589,1.737663476,0.000052928,2.370129900,0.241828708,1.791945101,0.000115149,2.538018329,0.000337067,0.241697470,1.189828675,0.050165415,0.050219608,0.050182422,0.050196934,0.050222329,3.485369829,0.245043632,0.000126831,0.031436813,1.787303367,0.000117057,1.987234424,0.241836571,1.877229856,0.050137978,0.027548020,0.000303938,0.008832907,0.000138988,0.000205973,0.000623746,0.000351844,0.002926831,0.000042914,0.009990922,0.001326158,0.000219083,0.468546815,0.000438117,0.241705333,0.049408000,0.003109147,0.000271045,0.001476866,0.000034093,0.000262941,0.000855557,0.000391883,0.002113967,0.000669732,0.000377822,0.000205019,0.042057041,0.050127320,0.343462093,0.003060421,0.000280818,0.001183287,0.000134936,0.000199060,0.000709759,0.000335876,0.000966559,0.000903675,0.000031947,0.000220036,0.043348707,0.050141606,0.654303384,0.003132202,0.000284869,0.001030629,0.000449795,0.000363045,0.000590627,0.000363999,0.002403230,0.000422866,0.000031947,0.000208117,0.042382056,0.050155892,1.241602606,0.050280373,0.050157933,0.050231852,0.050143647,0.050193079,3.745816788,0.241800440,1.793059793,0.000123016,1.766517039,0.050173126,0.050234799,0.050223462,0.050223462,0.050208044,2.422170241,0.000353989,0.241879627,3.579883116,0.245218837,0.000258174,1.791787125,0.000122063,0.554990140,0.050186503,0.050210991,0.050233893,0.050218701,0.050179701,1.724302349,0.241795760,3.463673118,0.000343979,0.241779286,1.745207028,0.000061033,0.761267791,0.003997195,0.000521762
