device_label,window_id,time_block_id,start_timestamp,end_timestamp,iat_0,iat_1,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,iat_9,iat_10,iat_11,iat_12,iat_13,iat_14,iat_15,iat_16,iat_17,iat_18,iat_19,iat_20,iat_21,iat_22,iat_23,iat_24,iat_25,iat_26,iat_27,iat_28,iat_29,iat_30,iat_31,iat_32,iat_33,iat_34,iat_35,iat_36,iat_37,iat_38,iat_39,iat_40,iat_41,iat_42,iat_43,iat_44,iat_45,iat_46,iat_47,iat_48,iat_49,iat_50,iat_51,iat_52,iat_53,iat_54,iat_55,iat_56,iat_57,iat_58,iat_59,iat_60,iat_61,iat_62,iat_63,iat_64,iat_65,iat_66,iat_67,iat_68,iat_69,iat_70,iat_71,iat_72,iat_73,iat_74,iat_75,iat_76,iat_77,iat_78,iat_79,iat_80,iat_81,iat_82,iat_83,iat_84,iat_85,iat_86,iat_87,iat_88,iat_89,iat_90,iat_91,iat_92,iat_93,iat_94,iat_95,iat_96,iat_97,iat_98,iat_99,iat_100,iat_101,iat_102,iat_103,iat_104,iat_105,iat_106,iat_107,iat_108,iat_109,iat_110,iat_111,iat_112,iat_113,iat_114,iat_115,iat_116,iat_117,iat_118,iat_119,iat_120,iat_121,iat_122,iat_123,iat_124,iat_125,iat_126,iat_127
TPLinkSmartPlug,0,0,1479772906.072456,1479776460.272481,0.021544118,0.002515012,0.242637851,1.740563177,0.000062941,3.522043811,3.476538783,0.135140764,0.229217141,0.005714508,1.747614795,0.001147327,5.446885344,0.135147845,0.228898027,0.000835785,1.749505896,0.000833640,5.446863156,0.135079735,0.228529867,0.000888668,1.748802550,0.001088266,4.523316333,4.947998240,0.135218449,0.224953893,0.000916776,1.748785294,0.001197336,5.446899803,0.135106813,0.002557581,1.792410776,0.000778610,5.392821831,2.580040153,0.135210743,0.227502058,0.020171154,1.745385813,0.002851945,5.446879004,0.135087442,0.230448842,0.000838643,1.749140891,0.003699128,5.446853537,0.135134723,0.002537842,1.792109089,0.000760743,4.711913645,4.800415217,0.135253437,0.229758435,0.001156376,1.749058452,0.000798622,5.446867372,0.136274210,0.001473770,1.792024277,0.000782661,5.445988932,0.135258852,0.002498840,1.792667392,0.000816726,1.133311528,5.436847564,0.136081125,0.002657456,1.791421096,0.000806722,5.446000717,0.135332155,0.002606568,1.792173874,0.000787663,4.876214005,4.623736637,0.135494570,0.002503834,1.792485548,0.000811724,5.445969952,0.532418461,0.878800584,1.339496231,0.241691291,1.067960964,0.000041961,1.492754455,2.428647448,0.020775677,0.002513823,0.134712654,0.002034025,0.000953458,0.134793916,0.003043307,0.000116103,0.000082967,0.001631597,0.000369004,0.000091072,0.085237719,0.135404620,0.004434276,0.064373716,0.149528112,0.039769576,0.089047861,0.015981555,0.140778830,0.054217438,1.585145829,0.000786710,2.966533817,1.791538431,0.000041961,3.714972475,1.791530124,0.000041007,4.455650341
TPLinkSmartPlug,1,1,1479776465.272431,1479780574.117676,1.791751125,0.000037192,3.795145148,0.021412274,0.001549712,0.236130863,1.742277527,0.000061987,3.254723928,0.134916420,0.001474961,1.792555312,0.000968464,0.079007068,5.445627217,0.134821001,0.214058523,0.092775094,0.000833640,0.044891082,1.727619081,0.002337344,5.447305366,0.134524688,0.000412856,0.009412672,1.790423234,0.000754787,4.858626787,4.644234473,0.134816626,0.002564715,1.792003461,0.000776704,5.445987690,0.134908295,0.001554948,1.792940096,0.000742636,5.445972865,0.134793916,0.002492894,1.791719970,0.001344968,3.039952301,5.356512754,0.134838502,0.002366126,1.792306331,0.000829591,5.445985413,0.134911003,0.002499791,1.792860039,0.000865561,5.003298627,4.429846626,0.134981832,0.002427014,1.791780649,0.000784804,5.445998801,0.135015162,0.231155234,0.001023484,1.748306610,0.000760743,5.446897928,0.135791429,0.230095269,0.000830782,1.748676399,0.000758837,3.707616536,5.258906329,0.135155760,0.002481716,1.792493569,0.000802672,5.445979252,0.134920586,0.002982456,1.791354075,0.000767651,5.127797770,4.161792861,0.134973916,0.003858741,1.791602101,0.000786710,5.446320311,0.134959126,0.008267701,1.790620651,0.000774560,5.446014046,0.134987873,0.002445090,1.791757959,0.000757646,3.336672941,0.021032279,0.002419165,1.788283411,0.000056980,0.036562448,1.791668151,0.244371822,1.792995541,0.005267077,2.899850140,5.148658682,0.135103272,0.002544977,1.792713483,0.001335206,5.445971057,0.424948060,0.719541792,1.135265603,0.918901248,1.313042541,1.187834255,0.000039100,0.694682966,0.000041007,1.818878424,2.030350552
TPLinkSmartPlug,2,2,1479780574.126689,1479783143.979189,0.008972564,0.020370211,0.210230179,0.000807675,0.000967511,0.210248727,0.003311390,0.000118010,0.000082967,0.004385378,0.000123970,0.000068186,0.084703148,0.210810232,0.002312368,0.099417186,0.241512096,0.078923128,0.038419360,0.117399797,0.210179942,0.006985527,0.067653906,1.445811828,0.000780516,1.835126554,3.549389601,1.791745959,0.000044106,4.152364617,1.791745839,0.000042914,3.992283705,4.231302316,0.214786393,0.321763912,0.171104707,0.001146375,0.049981728,1.683373858,0.000795524,4.356254545,0.035030185,5.031596969,0.210023418,0.001063496,0.001975967,1.792558170,0.000834594,5.446028910,0.214744270,0.002449133,1.792006599,0.000774560,4.050910008,5.166983877,0.210422215,0.002473868,1.791388063,0.000789807,5.446527431,0.210417386,0.002554727,1.791952609,0.001366158,5.221453417,3.861317810,0.211032854,0.002439145,1.791779973,0.000802672,5.446056713,0.210481325,0.002384203,1.791826979,0.000797669,5.445627234,0.214878325,0.002786089,1.792443219,0.000864847,4.345945467,5.047699851,0.210923576,0.001489007,1.792403906,0.014239255,5.445986503,0.496572672,0.827671868,1.274249384,0.400068511,0.000042914,0.184446032,1.696988622,2.211000237,0.008966892,0.001147327,0.134356904,0.000941549,0.000912489,0.134413807,0.003149075,0.000111812,0.000084158,0.001286156,0.000646859,0.000393789,0.085486621,0.134962668,0.002282397,0.083054493,0.147193321,0.039759953,0.103850091,0.140005390,0.054856351,0.710968017,1.344604783,0.000779802,2.932292608,3.742801693,1.791797457,0.000041007,4.362230298,1.791745641,0.000041007,3.714775438
TPLinkSmartPlug,3,3,1479783189.506917,1479787438.720762,3.840048438,0.135050782,0.002429155,1.792806413,0.000769796,5.446195729,0.135074528,0.002532610,1.791378245,0.000765746,5.446007472,0.135078902,0.200839699,0.088284636,0.002855987,0.047197578,1.729521402,0.002027839,4.069319652,0.020992123,1.788127369,0.000058172,1.794301077,0.000349937,0.001086360,1.792527160,0.002670534,0.000834594,0.235026217,1.704790096,5.042335899,0.134114663,0.001126370,0.001603747,1.792393938,0.000952505,5.445984153,0.135093691,0.002478862,1.792858531,0.003521672,5.328081838,3.283642892,0.135065780,0.241644857,0.000877711,1.746151541,0.000811724,5.447325414,0.135122435,0.003240812,1.792559798,0.000799813,5.445979076,0.135558279,0.236125404,0.000916538,1.747919536,0.000758837,4.584127861,4.906087425,0.135055157,0.002554727,1.792523507,0.000781707,5.446337805,0.135073486,0.002593727,1.792543837,0.004054660,5.383549083,0.003087280,1.791247652,0.000056026,1.354312878,1.967434967,0.135098065,0.230633059,0.000856509,1.747567907,0.005181693,5.446902129,0.135085984,0.229632803,0.000827685,1.747977866,0.004914111,5.446876565,0.135440435,0.002412981,1.792647581,0.000765746,4.764977846,4.749221792,0.135033493,0.229456363,0.005939216,1.747091215,0.000790760,5.446898897,0.135042867,0.001510909,1.792700343,0.000753834,5.445977532,0.135034951,0.004230122,1.791198472,0.000963700,2.219530691,5.409983551,0.135106605,0.008938064,1.790838710,0.001286156,5.446608670,0.135157426,0.004694868,1.791619627,0.010396843,4.905073121,0.020998894,0.001518764,0.258868962,1.034823032,1.356541832,0.000054120,4.530787928
TPLinkSmartPlug,4,4,1479787438.865619,1479790944.600603,0.135279677,0.002444139,1.792122237,0.000759551,5.445976484,0.135102439,0.230511513,0.001236152,1.747556610,0.002448896,5.446893903,0.135092649,0.002608708,1.792422411,0.003270755,3.367267688,5.317289733,0.135068279,0.002376116,1.791733163,0.000811486,5.445964759,0.135055157,0.226307410,0.001198289,1.748958753,0.000762887,5.056437984,4.330798470,0.135740641,0.225433751,0.004086716,1.749504694,0.002108733,5.446859795,0.135374844,0.005268262,1.791634093,0.002344242,5.446617956,0.576234083,0.940012265,1.297448123,0.000039100,0.184292963,0.231579926,1.979216012,2.601210220,0.633803603,0.008992412,1.792118741,0.001221388,1.792449056,0.008914198,0.001113272,0.134405887,0.000819824,0.000958461,0.134439861,0.003762074,0.000118964,0.000082967,0.003717181,0.000113004,0.000064848,0.084247409,0.138610942,0.002321170,0.045409312,0.150303455,0.038862067,0.104758065,0.140925660,0.053347364,2.635291254,1.517087302,3.857805902,1.791744449,0.000041007,4.562693888,1.791561761,0.000040053,0.693131683,0.000042914,4.221955107,0.135062239,0.005188334,1.791632146,0.004271906,5.445967748,0.135042033,0.000832688,1.793223559,0.000728818,4.945213331,4.525267529,0.135105980,0.207257226,0.085042188,0.000845551,0.052457756,1.728001258,0.000784804,5.447339909,0.134083388,0.001139230,0.006782131,1.791420062,0.004842221,5.445997650,0.135911105,0.004472966,1.791197796,0.020959905,3.473131420,5.301137048,0.135076194,0.248248997,0.000879616,1.743842549,0.011433553,5.447299885,0.135083276,0.002556629,1.791886618,0.000762887,5.075173391,0.457212161
TPLinkSmartPlug,5,5,1479790944.808353,1479795287.124339,0.188758995,0.002501932,0.240404194,1.707831332,0.000061033,4.211194968,0.135097232,0.000852698,1.793089754,0.000762648,5.445974585,0.135072654,0.233997142,0.000830782,1.746945649,0.000767651,5.446895717,0.135054323,0.227989426,0.000879616,1.749363998,0.000534868,3.945260761,5.200382816,0.135043908,0.002437004,1.791921620,0.001952172,5.445989760,0.135071820,0.004052760,1.792219035,0.001333063,5.190404090,3.975669145,0.135072028,0.002532610,1.792534347,0.006976530,5.445962917,0.135097856,0.228153411,0.001828428,1.749173069,0.000755739,5.446845891,0.135024744,0.229801256,0.008982487,1.747830063,0.000767651,4.268207962,5.085867051,0.135080569,0.001459963,1.791670456,0.000771701,5.446004772,0.135075361,0.002672436,1.792063566,0.000758837,5.294050773,3.516846999,0.135215117,0.002449133,1.792664375,0.002550684,5.445986004,0.135063905,0.002466020,1.792530972,0.000758837,5.445978338,0.135097024,0.002571849,1.791432067,0.000776704,4.513268866,4.953100385,0.135047449,0.227775105,0.001614697,1.748217669,0.000786710,5.446885826,0.135112020,0.226400761,0.000842455,1.748360891,0.000755739,5.389460618,1.487692112,0.191163089,0.006795866,0.252916694,1.703411405,0.000060795,1.722931587,0.135065780,0.002114681,1.792021298,0.003743784,5.446081580,0.135088484,0.002454841,1.791969971,0.009542330,5.445854421,0.135210743,0.003126259,1.791301680,0.029302499,4.707997278,4.803789396,0.538706145,0.884257490,1.348848396,0.010880665,0.000039100,0.185106814,1.868212199,2.506734679,0.008798167,0.005082069,0.107327583,0.030323505,0.000813868
TPLinkSmartPlug,6,6,1479795287.125342,1479799305.531025,0.001002287,0.134659519,0.003137906,0.000115149,0.000082967,0.001070403,0.000556791,0.001037536,0.086745505,0.135250730,0.002325451,0.076207902,0.150473097,0.037133943,0.103678585,0.139903823,0.055193478,1.583382765,0.000759789,2.938940312,3.840916356,1.791745482,0.000041961,4.467492106,1.791468596,0.000040053,4.295939194,0.134664520,0.002595629,1.791970130,0.009206462,5.374932667,2.827032452,0.134804542,0.001469009,1.792492854,0.000778610,5.445979805,0.135909441,0.003049250,1.792805103,0.000779563,5.445964866,0.135102439,0.002521908,1.791957456,0.002023794,4.682129201,4.827606439,0.134987873,0.190241017,0.072564418,0.028623412,0.039068673,1.731366506,0.000811486,5.447288776,0.134652226,0.000351129,0.002280256,1.792500041,0.002088748,5.445974973,0.135809954,0.003106057,1.545661582,0.839438548,0.000798860,5.445965893,0.134943294,0.237984958,0.000838643,1.746432571,0.005069972,5.446872380,0.134959959,0.002625592,1.792838883,0.000783613,4.848307822,4.656792117,0.134969542,0.001475913,1.791938108,0.003289766,5.445988030,0.134939127,0.233747870,0.000829591,1.747784430,0.001371159,5.446878167,0.134961626,0.002604666,1.791569630,0.000782661,2.965393060,1.992596892,0.004316537,0.002447944,0.282600464,5.331924324,0.134950377,0.002590635,1.792808080,0.000779563,5.445971307,0.134947877,0.002586593,1.791728991,0.000846505,4.992924860,4.448071751,0.134911003,0.001473057,1.792496507,0.001238294,5.445982742,0.134956627,0.001463772,1.793059793,0.002269552,5.445514426,0.134940794,0.228314144,0.000829591,1.749114808,0.000782661
TPLinkSmartPlug,7,7,1479799344.094035,1479802869.010249,3.677894590,5.265119552,0.134978291,0.004504771,1.791383253,0.000803624,5.446002041,0.135026411,0.002535701,1.792195879,0.000781707,5.120452619,4.180740998,0.136052410,0.229407082,0.000857700,1.749082961,0.000811724,5.446763108,0.134984541,0.002376116,1.792813082,0.000781707,5.445971871,0.134972250,0.002563764,1.791703320,0.003875366,4.082585917,5.155735530,0.135025577,0.003101303,1.792846028,0.001040395,5.445517853,0.134950377,0.002529756,1.792542805,0.000782898,5.234048633,3.812720481,0.135085776,0.228393646,0.084744549,1.732635257,0.003119129,5.447341697,0.564764342,0.925136684,1.313567987,0.000041961,0.187027222,0.106755198,1.957277298,2.577186643,0.381672244,0.008761535,0.002451036,0.134724115,0.001223292,0.000951552,0.134800791,0.003023578,0.000107044,0.000066994,0.002445804,0.000228141,0.000097985,0.088069396,0.135360059,0.002781335,0.074733472,0.145290052,0.036781249,0.111046529,0.143027169,0.052610452,1.582758945,0.004365676,2.987779383,3.904801472,1.791166466,0.000042914,4.535652216,1.791064039,0.000041007,4.146995741,0.134810584,0.002456030,1.792867501,0.005164615,3.993329444,2.307304450,0.020685536,0.005271108,0.286602646,1.730125729,0.000057934,5.103122049,0.134861212,0.212844420,0.095972678,0.000869611,0.041523805,1.726773723,0.000789807,5.438506087,0.134519686,0.000334922,0.002313320,1.792494522,0.000788616,5.215029417,3.887887206,0.134824543,0.005335852,1.792527994,0.000817680,5.445966630,0.134828918,0.003075396,1.791843310,0.001149232,5.445993147,0.134816626,0.248067252,0.000864609,1.744795015
TPLinkSmartPlug,8,9,1479802869.011013,1479807590.442899,0.000763840,4.331956288,5.056521876,0.134829752,0.238230922,0.000844598,1.747229739,0.000783613,5.446870337,0.134821209,0.002482906,1.792016253,0.000808627,5.316273865,3.374299318,0.134808708,0.234199948,0.000851507,1.747908783,0.000780516,5.446886822,0.134795791,0.228627563,0.003029521,1.747516157,0.000991568,5.447668778,0.134790374,0.002433198,1.792775451,0.000762648,4.554957812,4.924468798,0.134668063,0.002456982,1.792370111,0.000895576,5.445535706,0.134685566,0.002376353,1.791952450,0.000779563,5.408779873,2.248034294,0.134700361,0.002440096,1.792522515,0.000778610,5.445989058,0.134636597,0.230614885,0.000838643,1.748927813,0.000777658,5.446864342,0.134693485,0.228213001,0.000835785,1.748918398,0.000796716,4.746925670,2.549086432,0.021239800,0.002644615,0.286513318,1.730521481,0.000059841,4.615211029,0.134647849,0.228223438,0.003309490,1.747773136,0.000771701,5.446901970,0.134654934,0.002513823,1.792490710,0.002837918,5.446334791,0.134629720,0.002582788,1.792397433,0.000841502,1.917213749,5.420637764,0.134648058,0.002411079,1.792992049,0.000779563,5.445968943,0.134654101,0.226656622,0.000869611,1.748858381,0.000754787,4.904194914,4.586823236,0.134652434,0.002541885,1.792794068,0.001056590,5.445972583,0.134655977,0.001462820,1.791877638,0.002979604,5.445992232,0.134668063,0.002347335,1.792311137,0.000758598,2.959109367,0.002718327,1.841983688,0.000041007,1.139045108,5.328408372,0.134685566,0.002965578,1.792767948,0.000784804,5.446092534,0.527721101,0.872126032,1.330784024,0.120409816,0.000042199,0.184291178
TPLinkSmartPlug,9,10,1479807595.680555,1479811380.949099,1.830604489,2.121639047,0.009169845,0.002431058,0.217887414,0.000849601,0.000960603,0.217963724,0.003054241,0.000122063,0.000088926,0.002910903,0.000388785,0.000092979,0.082421274,0.218490255,0.002378256,0.093207851,0.228171820,0.036866045,0.117250320,0.223622753,0.055960504,1.140234287,0.799157593,0.000756693,3.093197136,3.818685103,1.791758635,0.000040053,4.197072885,2.975363543,1.793149834,0.000042914,4.301801113,0.218523405,0.003022390,1.791926626,0.000782661,5.445995449,0.218602157,0.002614653,1.792480545,0.005563490,5.445974183,0.218576482,0.002459836,1.792533672,0.000766699,3.302755985,5.326131181,0.218561920,0.002566617,1.792437064,0.000784804,5.445998749,0.218606181,0.002571612,1.792356807,0.000762648,5.043623129,2.742314747,0.159468101,0.002803207,0.236721304,1.714321015,0.000056026,4.065264180,0.218570734,0.002516914,1.792228527,0.000757646,5.446003206,0.218583572,0.005969079,1.791626661,0.000772654,5.447022507,0.218562686,0.201109008,0.149790663,0.004783377,0.073966767,1.712510102,0.000765507,3.839992105,5.229597197,0.217645984,0.001208291,0.001452106,1.791885267,0.000781707,5.446017687,0.218710407,0.002528805,1.791611957,0.000777895,5.158982468,4.074928111,0.219036810,0.311838367,0.001159234,1.728762338,0.002184626,5.447360902,0.219055962,0.002535940,1.792702169,0.000751689,5.445989429,0.219031064,0.007820227,1.791760502,0.000755502,4.180839153,5.120426777,0.219046386,0.003178071,1.792362963,0.005212289,5.445974843,0.219073773,0.307186905,0.000834594,1.730993890,0.001167331,5.263990752,3.632217117
