device_label,window_id,time_block_id,raw_mean,raw_std,raw_min,raw_max,raw_median,raw_skew,raw_kurtosis,raw_p25,raw_p75,raw_p95,raw_p99,raw_energy,raw_entropy
AmazonEcho,0,0,0.407148097,0.790111337,0.000097031,3.016185471,0.007866306,1.894103366,2.148508040,0.000970549,0.196561399,2.276681967,2.768660262,101.125823746,4.466113872
AmazonEcho,1,0,0.241430200,0.659325893,0.000036000,3.016361222,0.004259909,2.844058247,6.820229143,0.000684384,0.018093509,2.118776104,2.849572274,63.103894292,3.656889992
AmazonEcho,2,0,0.595936920,0.847965652,0.000109905,3.016292065,0.151214194,1.374099967,0.636664747,0.006440711,1.062209634,2.314355098,2.994849357,137.495879627,5.043673884
AmazonEcho,3,0,0.228926041,0.579183993,0.000078914,2.925486567,0.004646097,2.967991442,8.055228445,0.000951314,0.117931456,1.715687359,2.567399077,49.646237395,3.665191731
AmazonEcho,4,0,0.537980683,0.820667930,0.000101800,2.862679797,0.102878053,1.377871302,0.326017919,0.008590281,0.685254313,2.252329002,2.630189508,123.253640450,4.952047447
AmazonEcho,5,0,0.142280003,0.419682273,0.000031947,2.519254216,0.004003487,4.334294546,19.326483293,0.000446577,0.050158613,0.654001176,2.410207170,25.136231610,2.918233591
AmazonEcho,6,0,0.648567949,0.936395613,0.000097985,3.016625578,0.048196704,1.186365952,-0.103003023,0.002472895,1.326117744,2.605431571,3.000211468,166.077072628,5.127436156
AmazonEcho,7,0,0.652393975,0.900606981,0.000041007,3.016647129,0.135886926,1.191625959,0.055932235,0.003935807,1.223707281,2.618563920,2.985930839,158.298986541,5.171572708
AmazonEcho,8,0,0.268044236,0.644021991,0.000039100,2.854569100,0.005450138,2.615859831,5.618265207,0.001148515,0.122018324,2.059714353,2.637241289,62.286340791,3.878465499
AmazonEcho,9,0,0.460626782,0.827346178,0.000096078,3.017223376,0.009334824,1.680038526,1.388659644,0.001545780,0.226100726,2.264383683,2.973086400,114.774877437,4.660519558
AmazonEcho,10,0,0.728478402,0.900170879,0.000046967,3.016400750,0.196363740,0.908162817,-0.646113578,0.005892110,1.585910739,2.524784806,2.841984760,171.646514282,5.409183891
AmazonEcho,11,0,0.500214412,0.827813180,0.000036954,3.016562954,0.027612265,1.595408925,1.205598684,0.002859432,0.676696158,2.361796060,2.895444106,119.742607336,4.782412677
AmazonEcho,12,0,0.215290566,0.567266562,0.000081059,2.957904219,0.005452521,3.094230210,8.882517864,0.000972751,0.065163472,1.729682632,2.565239485,47.122096594,3.563472283
AmazonEcho,13,0,0.680152348,0.925136432,0.000082967,3.016882126,0.141494489,1.058012332,-0.360451718,0.003383729,1.443082272,2.475795506,2.985155017,168.766033102,5.251987389
AmazonEcho,14,0,0.580049567,0.862918355,0.000038146,3.017577526,0.047531186,1.317765803,0.349705882,0.003305226,0.987625087,2.367532122,2.991709068,138.378955091,5.032785319
AmazonEcho,15,0,0.346971077,0.733476563,0.000041961,3.018285916,0.006193031,2.185257706,3.434423859,0.000967987,0.189930362,2.148566383,2.804775247,84.272230035,4.225699780
AmazonEcho,16,0,0.452911400,0.818597256,0.000066994,3.018834207,0.008820497,1.763839045,1.734650781,0.001373064,0.225882557,2.325079301,2.912010567,112.029466118,4.607470138
AmazonEcho,17,0,0.673477011,0.894811359,0.000110859,3.018245682,0.151709794,1.059397172,-0.324411896,0.005995256,1.416943642,2.424223791,2.921446194,160.545107492,5.269552505
AmazonEcho,18,1,0.403377892,0.764764026,0.000098939,2.977434547,0.008363815,1.951769677,2.606402324,0.001125652,0.222686736,2.147618378,2.888526350,95.689950528,4.466843871
AmazonEcho,19,1,0.437613023,0.802143808,0.000096078,3.019132008,0.008799667,1.655839743,1.190045301,0.001135178,0.212634636,2.147052280,2.739471595,106.872300384,4.649667517
AmazonEcho,20,1,0.577046260,0.892397928,0.000069139,3.018905099,0.050021834,1.371317625,0.330972168,0.003505812,0.757087212,2.540609072,2.927166530,144.557625402,4.953038109
AmazonEcho,21,1,0.551690664,0.869661991,0.000039100,3.018923805,0.028093747,1.394466988,0.458253422,0.001859009,0.989532510,2.473442134,2.874390645,135.766344526,4.932616305
AmazonEcho,22,1,0.216994042,0.539769915,0.000036954,2.806814901,0.004734141,2.907300274,7.843149548,0.000625534,0.046389049,1.691041604,2.359399670,43.320060870,3.722789851
AmazonEcho,23,1,0.226348580,0.600203367,0.000081059,3.018716455,0.005717227,2.998856371,8.251023851,0.000970608,0.037510512,1.765152214,2.777411236,52.669153442,3.609275115
AmazonEcho,24,1,0.475916721,0.834931195,0.000039100,3.018586712,0.004894051,1.524674323,0.776490125,0.000962986,0.257008283,2.280176906,2.701614798,118.221673769,4.771367748
AmazonEcho,25,1,0.604532159,0.895333371,0.000041961,3.019375166,0.106466443,1.358970198,0.456084623,0.004217420,1.205169757,2.505917336,3.019249723,149.386365137,5.008672067
AmazonEcho,26,1,0.013725549,0.026947091,0.000025034,0.138847531,0.002931344,2.942275579,8.482761403,0.000291245,0.012626762,0.079083794,0.127267537,0.117060657,3.935341107
AmazonEcho,27,1,0.092775583,0.314890573,0.000022888,2.109256728,0.003778463,4.559993694,21.126645404,0.000367216,0.024187334,0.511386222,1.620863787,13.793712821,2.679854097
AmazonEcho,28,1,0.687822735,0.913498159,0.000041961,3.019159549,0.150144228,1.101168286,-0.238613893,0.009562113,1.399247846,2.564980183,2.920727543,167.370112074,5.245088391
AmazonEcho,29,1,0.463363600,0.852375047,0.000097031,3.019090282,0.007992841,1.678208159,1.251359149,0.001330742,0.221224152,2.265591814,2.894351963,120.479877991,4.630397438
AmazonEcho,30,1,0.355020033,0.720758910,0.000101084,3.019294585,0.007391603,2.199458293,3.803911837,0.000989424,0.178721913,2.146018797,2.900285156,82.628176644,4.272511951
AmazonEcho,31,1,0.559819878,0.843167843,0.000041961,3.019256895,0.100427860,1.393455449,0.568942800,0.003782204,0.947891777,2.428984736,2.878761201,131.114279355,4.977256869
AmazonEcho,32,1,0.510672753,0.851943918,0.000040053,3.017817400,0.023277916,1.528249375,0.872631429,0.001384730,0.516099605,2.451191577,2.893035322,126.284172832,4.808074959
AmazonEcho,33,1,0.485218724,0.874621414,0.000094171,3.019178250,0.006490808,1.613213071,1.037951247,0.001077547,0.227267484,2.382878765,2.962815350,128.051178106,4.692059553
AmazonEcho,34,1,0.398360897,0.771021588,0.000097985,3.018839635,0.006019320,2.021275087,3.004452040,0.000954411,0.203365156,2.184365950,2.993481476,96.405208736,4.421375655
AmazonEcho,35,1,0.066846901,0.249216689,0.000067947,2.320483169,0.026866755,7.281574982,56.440156790,0.009891833,0.044385013,0.160152265,1.262362762,8.521915668,1.576731363
AmazonEcho,36,1,0.144158716,0.429186072,0.000061033,2.859756353,0.022551632,4.525436850,21.200026104,0.012319305,0.045395667,0.807394668,2.354373307,26.237749762,2.790611022
AmazonEcho,37,1,0.026709607,0.028633818,0.000067947,0.196545925,0.020354324,3.303761975,14.970532628,0.011622729,0.034878728,0.063365349,0.165960268,0.196262227,4.931221705
AmazonEcho,38,1,0.158601952,0.479877955,0.000039100,3.018751638,0.022182801,4.149225998,17.687924131,0.004990503,0.045060546,1.173725436,2.529036060,32.695991200,2.941936754
AmazonEcho,39,1,0.028391938,0.017671626,0.000160920,0.064789217,0.024211565,0.614474102,-0.525944859,0.016883459,0.041010706,0.063477217,0.064279080,0.143153728,6.220050493
AmazonEcho,40,1,0.279735278,0.600980557,0.000041007,3.017804189,0.032152986,2.711692201,6.755686493,0.004192528,0.196526973,1.791322124,2.647196141,56.246970270,3.935988406
AmazonEcho,41,1,0.212585958,0.556221936,0.000054120,2.350185136,0.002969144,2.701446254,5.783251880,0.000597001,0.033736202,1.769148290,2.147288533,45.385680815,3.750585794
AmazonEcho,42,1,0.035340772,0.095421034,0.000061987,1.088874025,0.021647481,10.514007267,113.103070417,0.015372246,0.042963006,0.059893541,0.113221298,1.325330411,1.118804840
AmazonEcho,43,1,0.021627600,0.022252686,0.000087972,0.139545352,0.019705119,2.324990060,8.034247347,0.004868700,0.028309990,0.060816533,0.113248240,0.123255695,5.240743132
AmazonEcho,44,1,0.572846080,0.849271160,0.000038861,3.018902850,0.047398742,1.325203345,0.487420672,0.001842586,1.107863575,2.295978841,3.008260413,134.325009073,5.042480151
AmazonEcho,45,2,0.573687228,0.864647193,0.000034093,3.018669295,0.105301559,1.364701492,0.427105578,0.004099715,1.066753249,2.439627557,2.869361946,137.821670824,4.986890174
AmazonEcho,46,2,0.429111561,0.813157777,0.000097985,3.019218202,0.008651948,1.881270390,2.241280950,0.001392230,0.225340006,2.292506310,3.015360391,108.206374670,4.505170316
AmazonEcho,47,2,0.371722388,0.753104666,0.000066040,2.621273574,0.006208059,1.928465066,2.062321079,0.001083919,0.196407088,2.147126539,2.586226281,90.284054002,4.392462448
AmazonEcho,48,2,0.651360880,0.890712864,0.000029802,3.019211414,0.140137782,1.142692179,-0.147344603,0.007092059,1.295365477,2.529573875,2.947896439,155.857971487,5.195501031
AmazonEcho,49,2,0.367461255,0.721483214,0.000041961,3.019240629,0.010427419,2.207713975,3.947600050,0.001313238,0.219156695,2.125309102,2.964056134,83.912422534,4.304289411
AmazonEcho,50,2,0.411486688,0.775016119,0.000035047,3.019133417,0.008222471,1.800559615,1.897756468,0.000991329,0.196144739,2.146273026,2.893644108,98.556323670,4.555472599
AmazonEcho,51,2,0.637206579,0.871592705,0.000036000,3.018963325,0.188015282,1.267937014,0.341886581,0.007008668,1.218254453,2.638432987,2.953767490,149.210376698,5.139873638
AmazonEcho,52,2,0.407828937,0.801871890,0.000071046,3.018727593,0.006126071,1.883201403,2.033639850,0.000977515,0.196095553,2.186137400,2.857277599,103.593340213,4.455812462
AmazonEcho,53,2,0.405297526,0.793755158,0.000036954,3.018901919,0.008688141,2.024325869,2.891779541,0.000971799,0.202567605,2.235322182,3.018889060,101.672106940,4.398631099
AmazonEcho,54,2,0.584701702,0.874992340,0.000037908,2.950549324,0.043433333,1.272670334,0.158214928,0.001817718,1.197537717,2.409600553,2.916964538,141.758422350,5.052167374
AmazonEcho,55,2,0.589863822,0.892319889,0.000032901,3.018948195,0.116930614,1.395532201,0.565294903,0.001998203,0.985149991,2.598209131,3.016193710,146.454286485,4.970608108
AmazonEcho,56,2,0.364701656,0.745543082,0.000041007,2.993641746,0.005924403,2.068595289,2.981937394,0.001063139,0.199536882,2.148019294,2.806120774,88.171748559,4.330431133
AmazonEcho,57,2,0.409560991,0.783021116,0.000097031,3.018603175,0.009169201,1.890587987,2.249035724,0.001287402,0.199538346,2.147419271,2.962523547,99.950370966,4.486623623
AmazonEcho,58,2,0.682563117,0.916354247,0.000034093,3.018923269,0.161900822,1.032193690,-0.401030846,0.002232669,1.475285503,2.555530633,2.951084857,167.116481977,5.278331721
AmazonEcho,59,2,0.579960216,0.894417644,0.000039815,3.019201900,0.083475667,1.425005267,0.652575454,0.002781392,1.096931380,2.584184787,3.019133321,145.451107128,4.937293875
AmazonEcho,60,2,0.189260114,0.531248284,0.000082013,2.955067663,0.004629845,3.339552832,10.474806053,0.000554586,0.039600199,1.637763668,2.314472491,40.709648652,3.381428341
