timestamp,packet_size,direction,iat
1479772804.877398,42,1,0.007157087
1479772814.293503,201,1,9.416105032
1479772821.888592,191,1,7.595088959
1479772824.222401,98,1,2.333808899
1479772824.222549,98,0,0.000148058
1479772824.231190,98,1,0.008641005
1479772824.231303,98,0,0.000113010
1479772824.233536,98,1,0.002233028
1479772824.233637,98,0,0.000101089
1479772824.237464,98,1,0.003826857
1479772824.237561,98,0,0.000097036
1479772824.241278,98,1,0.003716946
1479772824.241391,98,0,0.000113010
1479772824.245782,98,1,0.004390955
1479772824.245880,98,0,0.000097990
1479772824.249326,98,1,0.003446102
1479772824.249423,98,0,0.000097036
1479772824.253175,98,1,0.003751993
1479772824.253275,98,0,0.000099897
1479772824.259467,98,1,0.006191969
1479772824.259565,98,0,0.000098228
1479772824.261065,98,1,0.001499891
1479772824.261173,98,0,0.000108004
1479772824.265528,98,1,0.004354954
1479772824.267125,98,0,0.001596928
1479772824.269006,98,1,0.001881123
1479772824.270378,98,0,0.001372099
1479772824.272860,98,1,0.002481937
1479772824.274197,98,0,0.001337051
1479772824.277356,98,1,0.003158808
1479772824.278728,98,0,0.001372099
1479772824.284587,98,1,0.005858898
1479772824.285938,98,0,0.001351118
1479772824.289312,98,1,0.003373861
1479772824.290490,98,0,0.001178026
1479772824.293517,98,1,0.003027201
1479772824.294485,98,0,0.000967979
1479772824.311142,98,1,0.016656876
1479772824.312114,98,0,0.000972033
1479772824.317668,98,1,0.005553961
1479772824.318608,98,0,0.000940084
1479772824.327533,98,1,0.008924961
1479772824.328486,98,0,0.000952959
1479772824.344286,75,1,0.015799999
1479772824.344415,75,1,0.000128984
1479772824.344803,91,0,0.000388145
1479772824.345198,103,0,0.000394821
1479772824.357417,74,1,0.012219191
1479772824.501080,74,0,0.143662930
1479772824.503093,66,1,0.002012968
1479772824.503957,66,1,0.000864029
1479772824.506494,75,1,0.002537012
1479772824.506627,75,1,0.000133038
1479772824.506899,91,0,0.000272036
1479772824.507208,103,0,0.000308990
1479772824.530813,74,1,0.023604870
1479772824.647345,66,0,0.116532087
1479772824.655561,66,1,0.008215904
1479772824.674476,74,0,0.018914938
1479772824.678931,66,1,0.004455090
1479772824.679530,66,1,0.000598907
1479772824.681621,75,1,0.002091169
1479772824.681742,75,1,0.000120878
1479772824.681983,91,0,0.000241041
1479772824.682302,103,0,0.000319004
1479772824.713189,74,1,0.030886889
1479772824.822948,66,0,0.109759092
1479772824.831260,66,1,0.008311987
1479772824.856821,74,0,0.025561094
1479772824.867910,66,1,0.011088848
1479772824.868044,66,1,0.000133991
1479772825.011485,66,0,0.143441200
1479772825.018745,66,1,0.007259846
1479772829.618729,95,0,4.599984169
1479772829.624283,54,1,0.005553961
1479772829.624932,95,1,0.000648975
1479772829.873781,54,0,0.248848915
1479772841.317571,201,1,11.443789959
1479772848.913952,191,1,7.596381187
1479772859.653820,95,1,10.739867926
1479772859.871033,54,0,0.217212915
1479772859.871157,95,0,0.000123978
1479772859.913137,54,1,0.041980028
1479772864.089720,90,1,4.176583052
1479772864.250130,90,0,0.160409927
1479772864.880251,42,0,0.630120993
1479772864.889872,42,1,0.009621143
1479772868.342760,201,1,3.452888012
1479772875.943649,191,1,7.600888968
1479772889.618707,95,0,13.675057888
1479772889.629195,54,1,0.010488033
1479772889.629314,95,1,0.000118971
1479772889.883770,54,0,0.254456043
1479772894.890243,42,0,5.006473064
1479772894.897822,42,1,0.007578850
1479772895.365614,201,1,0.467792034
1479772902.968112,191,1,7.602498055
1479772918.309252,90,1,15.341140032
1479772918.497877,90,0,0.188624859
1479772919.659192,95,1,1.161315203
1479772919.876353,54,0,0.217160940
1479772919.876900,95,0,0.000546932
1479772919.922231,54,1,0.045331001
1479772922.390463,201,1,2.468232155
1479772929.999944,191,1,7.609480858
1479772943.894540,113,1,13.894596100
1479772945.535446,90,1,1.640905857
1479772945.682798,90,0,0.147351980
1479772949.417595,201,1,3.734797001
1479772949.618682,95,0,0.201086998
1479772949.913638,95,1,0.294956207
1479772950.093746,95,0,0.180107832
1479772950.105679,54,1,0.011933088
1479772950.106518,95,1,0.000838995
1479772950.163772,54,0,0.057254076
1479772950.322853,95,0,0.159080982
1479772950.323636,54,0,0.000782967
1479772950.367052,54,1,0.043416023
1479772950.690229,42,0,0.323176861
1479772950.696505,42,1,0.006276131
1479772957.029722,191,1,6.333216906
1479772976.442998,201,1,19.413275957
1479772980.358640,95,1,3.915642023
1479772980.575849,54,0,0.217209101
1479772980.575971,95,0,0.000121832
1479772980.586600,54,1,0.010629177
1479772984.051206,191,1,3.464606047
1479772985.580248,42,0,1.529042006
1479772985.601877,42,1,0.021628857
1479773003.465932,201,1,17.864054918
1479773008.468738,42,1,5.002806187
1479773008.468774,42,0,0.000036001
1479773009.618757,95,0,1.149982929
1479773009.626233,54,1,0.007476091
1479773009.626345,95,1,0.000111818
1479773009.873762,54,0,0.247416973
1479773011.078406,191,1,1.204644203
1479773030.495270,201,1,19.416863918
1479773038.103409,191,1,7.608139038
1479773039.659000,95,1,1.555590868
1479773039.876010,54,0,0.217010021
1479773039.876239,95,0,0.000229120
1479773039.922156,54,1,0.045917034
1479773044.880251,42,0,4.958094835
1479773044.887051,42,1,0.006800175
1479773057.520079,201,1,12.633027792
1479773065.131209,191,1,7.611129999
1479773069.618757,95,0,4.487548113
1479773069.625698,54,1,0.006941080
1479773069.626273,95,1,0.000574827
1479773069.873775,54,0,0.247502089
1479773074.880243,42,0,5.006468058
1479773074.887203,42,1,0.006959915
1479773084.547366,201,1,9.660162926
1479773092.159967,191,1,7.612601042
1479773098.972736,85,1,6.812768936
1479773099.003187,54,1,0.030451059
1479773099.076263,98,1,0.073076010
1479773099.076411,98,0,0.000148058
1479773099.086868,98,1,0.010457039
1479773099.086985,98,0,0.000117064
1479773099.090934,98,1,0.003948927
1479773099.091035,98,0,0.000100851
1479773099.095474,54,1,0.004439116
1479773099.096786,98,1,0.001312017
1479773099.096881,98,0,0.000094891
1479773099.100088,98,1,0.003206968
1479773099.100183,98,0,0.000095129
1479773099.108933,98,1,0.008749962
1479773099.109044,98,0,0.000111103
1479773099.118132,98,1,0.009088039
1479773099.118242,98,0,0.000109911
1479773099.123290,98,1,0.005048037
1479773099.123393,98,0,0.000102997
1479773099.127012,98,1,0.003618956
1479773099.127122,98,0,0.000109911
1479773099.144796,98,1,0.017673969
1479773099.144896,98,0,0.000100136
1479773099.157464,98,1,0.012567997
1479773099.159047,98,0,0.001582861
1479773099.163449,98,1,0.004402161
1479773099.164820,98,0,0.001370907
