timestamp,packet_size,direction
1479772820.011103,74,1
1479772820.228308,74,0
1479772820.230279,66,1
1479772820.235846,272,1
1479772820.453085,66,0
1479772820.457124,1514,0
1479772820.457237,382,0
1479772820.458592,66,1
1479772820.462251,66,1
1479772820.979807,200,1
1479772821.197643,125,0
1479772821.199592,66,1
1479772821.206679,327,1
1479772821.251764,1514,1
1479772821.463396,66,0
1479772821.468976,1514,1
1479772821.469269,66,0
1479772821.470781,1514,1
1479772821.476666,1514,1
1479772821.476761,342,1
1479772821.686128,66,0
1479772821.687875,66,0
1479772821.690276,1514,1
1479772821.693717,66,0
1479772821.693820,66,0
1479772821.696489,357,1
1479772821.741224,1514,1
1479772821.781811,1514,1
1479772821.824784,1514,1
1479772821.907370,66,0
1479772821.911840,1514,1
1479772821.913413,66,0
1479772821.918089,342,1
1479772821.958379,66,0
1479772821.962720,1514,1
1479772821.998940,66,0
1479772822.003806,1514,1
1479772822.041863,66,0
1479772822.128916,66,0
1479772822.135005,66,0
1479772822.135873,796,1
1479772822.179798,66,0
1479772822.220900,66,0
1479772822.352844,66,0
1479772822.380763,492,0
1479772822.380877,103,0
1479772822.380959,66,0
1479772822.389177,103,1
1479772822.389291,66,1
1479772822.389369,54,1
1479772822.455100,74,1
1479772822.661672,74,0
1479772822.663253,66,1
1479772822.668395,272,1
1479772822.875044,66,0
1479772822.879035,1514,0
1479772822.879146,382,0
1479772822.881147,66,1
1479772822.888528,66,1
1479772823.404628,200,1
1479772823.611935,125,0
1479772823.619272,66,1
1479772823.626176,327,1
1479772823.670762,1514,1
1479772823.871425,66,0
1479772823.874609,1514,1
1479772823.876128,1514,1
1479772823.877689,66,0
1479772823.883665,1514,1
1479772823.883755,268,1
1479772824.081075,66,0
1479772824.082570,66,0
1479772824.085064,1514,1
1479772824.090128,66,0
1479772824.090269,66,0
1479772824.092107,357,1
1479772824.134338,1514,1
1479772824.175935,1514,1
1479772824.218035,1514,1
1479772824.291527,66,0
1479772824.298423,66,0
1479772824.306141,1514,1
1479772824.312550,712,1
1479772824.340828,66,0
1479772824.355904,1514,1
1479772824.382474,66,0
1479772824.397684,1514,1
1479772824.424526,66,0
1479772824.512668,66,0
1479772824.518943,66,0
1479772824.519752,500,1
1479772824.562399,66,0
1479772824.604177,66,0
1479772824.726175,66,0
1479772824.752754,492,0
1479772824.752868,103,0
1479772824.752951,66,0
1479772824.758904,103,1
1479772824.760162,66,1
1479772825.230241,42,0
1479772825.233765,42,1
1479772834.830839,74,1
1479772835.037386,74,0
1479772835.039287,66,1
1479772835.044193,272,1
1479772835.250787,66,0
1479772835.254799,1514,0
1479772835.254902,382,0
1479772835.256967,66,1
1479772835.257072,66,1
1479772835.769111,200,1
1479772835.976282,125,0
1479772835.978666,66,1
1479772835.991375,327,1
1479772836.030430,1514,1
1479772836.235390,66,0
1479772836.237340,66,0
1479772836.238375,1514,1
1479772836.241097,1514,1
1479772836.244167,1514,1
1479772836.244266,268,1
1479772836.444816,66,0
1479772836.447354,1514,1
1479772836.447566,66,0
1479772836.450614,66,0
1479772836.450726,66,0
1479772836.451950,246,1
1479772836.496621,1514,1
1479772836.537896,1514,1
1479772836.580300,1514,1
1479772836.653884,66,0
1479772836.656111,1514,1
1479772836.658181,66,0
1479772836.659757,194,1
1479772836.703114,66,0
1479772836.703730,1514,1
1479772836.744181,1514,1
1479772836.744340,66,0
1479772836.786763,66,0
1479772836.862551,66,0
1479772836.865990,66,0
1479772836.866883,1129,1
1479772836.910160,66,0
1479772836.950657,66,0
1479772837.073257,66,0
1479772837.098353,492,0
1479772837.098466,103,0
1479772837.098545,66,0
1479772837.104074,103,1
1479772837.104927,66,1
1479772848.539563,118,1
1479772848.539708,118,0
1479772849.546949,118,1
1479772849.547062,118,0
1479772849.738176,86,1
1479772850.550717,118,1
1479772850.550836,118,0
1479772853.187114,86,1
1479772857.188945,74,1
