timestamp,packet_size,direction
1479772804.163567,62,1
1479772804.437170,54,0
1479772809.440237,42,0
1479772809.440353,60,1
1479772830.887211,60,0
1479772830.887553,62,1
1479772831.161195,54,0
1479772833.153507,106,1
1479772833.431697,102,0
1479772833.431927,66,1
1479772834.462587,352,1
1479772834.514067,352,1
1479772834.565556,361,1
1479772834.617065,361,1
1479772834.668544,355,1
1479772834.719992,355,1
1479772876.916906,62,1
1479772877.190567,54,0
1479772882.200231,42,0
1479772882.200347,60,1
1479772884.640751,60,0
1479772884.641154,62,1
1479772884.914773,54,0
1479772886.149251,352,1
1479772886.200681,352,1
1479772886.252134,361,1
1479772886.303653,361,1
1479772886.355080,355,1
1479772886.406589,355,1
1479772889.646286,60,1
1479772889.646328,42,0
1479772902.980192,339,1
1479772902.983584,74,0
1479772902.983844,74,1
1479772902.985243,66,0
1479772902.985277,252,0
1479772902.985533,66,1
1479772902.986178,83,1
1479772902.986598,1191,1
1479772902.987076,66,0
1479772902.988886,66,0
1479772902.988920,66,0
1479772902.989152,66,1
1479772903.031671,348,1
1479772903.084631,342,1
1479772904.006626,339,1
1479772904.009578,74,0
1479772904.009853,74,1
1479772904.011137,66,0
1479772904.011172,252,0
1479772904.011407,66,1
1479772904.012164,83,1
1479772904.012537,1191,1
1479772904.014661,66,0
1479772904.014698,66,0
1479772904.015471,66,0
1479772904.015689,66,1
1479772904.058983,348,1
1479772904.110385,342,1
1479772904.674034,339,1
1479772904.677769,74,0
1479772904.678062,74,1
1479772904.679403,66,0
1479772904.679438,252,0
1479772904.679692,66,1
1479772904.680339,83,1
1479772904.680705,1191,1
1479772904.681972,66,0
1479772904.682286,66,0
1479772904.682752,66,0
1479772904.682954,66,1
1479772904.725472,348,1
1479772904.776891,342,1
1479772905.700666,339,1
1479772905.703768,74,0
1479772905.704041,74,1
1479772905.705601,66,0
1479772905.705737,252,0
1479772905.705946,66,1
1479772905.706760,83,1
1479772905.707155,1191,1
1479772905.707614,66,0
1479772905.709093,66,0
1479772905.709725,66,0
1479772905.709928,66,1
1479772905.753495,348,1
1479772905.804940,342,1
1479772930.682955,62,1
1479772930.956508,54,0
1479772935.960240,42,0
1479772935.960361,60,1
1479772941.324029,352,1
1479772941.375480,352,1
1479772941.426984,361,1
1479772941.478490,361,1
1479772941.529956,355,1
1479772941.581460,355,1
1479772953.076504,106,1
1479772953.354577,102,0
1479772953.354812,66,1
1479772960.286616,60,0
1479772960.286954,62,1
1479772960.560679,54,0
1479772993.017079,352,1
1479772993.068530,352,1
1479772993.119985,361,1
1479772993.173067,361,1
1479772993.224562,355,1
1479772993.276030,355,1
1479773006.317275,62,1
1479773006.590719,54,0
1479773011.326310,60,1
1479773011.326366,42,0
1479773012.174087,60,0
1479773012.174429,62,1
1479773012.447969,54,0
1479773017.180244,42,0
1479773017.180362,60,1
1479773042.399508,339,1
1479773042.402990,74,0
1479773042.403256,74,1
1479773042.404008,66,0
1479773042.404676,252,0
1479773042.404925,66,1
1479773042.405580,83,1
1479773042.405968,1191,1
1479773042.406525,1191,1
1479773042.410324,66,0
1479773042.410350,66,0
1479773042.410362,66,0
1479773042.410373,78,0
1479773042.410637,66,1
1479773042.451008,348,1
