timestamp,packet_size,direction
1479772812.592860,204,1
1479772812.768274,199,0
1479772812.770874,66,1
1479772818.674545,421,1
1479772818.674775,493,1
1479772818.674965,489,1
1479772818.675133,469,1
1479772818.675295,501,1
1479772818.675453,483,1
1479772818.675612,485,1
1479772842.622805,204,1
1479772842.784903,199,0
1479772843.057846,199,0
1479772843.058966,66,1
1479772846.874817,86,1
1479772847.790238,42,0
1479772847.791353,42,1
1479772848.675607,421,1
1479772848.675831,493,1
1479772848.676396,489,1
1479772848.676567,469,1
1479772848.676708,501,1
1479772848.683814,483,1
1479772848.684007,485,1
1479772851.815294,86,1
1479772872.654142,204,1
1479772872.817930,199,0
1479772872.820410,66,1
1479772877.820242,42,0
1479772877.821346,42,1
1479772878.699607,421,1
1479772878.699830,493,1
1479772878.700015,489,1
1479772878.700190,469,1
1479772878.700394,501,1
1479772878.700555,483,1
1479772878.700721,485,1
1479772897.805292,46,1
1479772900.555388,46,1
1479772902.285927,381,1
1479772902.388405,381,1
1479772902.495029,74,0
1479772902.505662,74,0
1479772902.557107,74,1
1479772902.560973,74,1
1479772902.562231,66,0
1479772902.562294,252,0
1479772902.575065,66,0
1479772902.577179,66,1
1479772902.577373,1236,1
1479772902.577434,66,1
1479772902.582380,252,0
1479772902.586492,66,1
1479772902.587670,1236,1
1479772902.587744,66,1
1479772902.591505,66,0
1479772902.592725,66,0
1479772902.601428,66,0
1479772902.606824,66,0
1479772902.607457,66,1
1479772902.622329,66,1
1479772902.684927,204,1
1479772902.846950,199,0
1479772902.848185,66,1
1479772907.850239,42,0
1479772907.851354,42,1
1479772908.699476,421,1
1479772908.699705,493,1
1479772908.700318,489,1
1479772908.700490,469,1
1479772908.700632,501,1
1479772908.700775,483,1
1479772908.705111,485,1
1479772932.715531,204,1
1479772932.884378,199,0
1479772932.886791,66,1
1479772937.890238,42,0
1479772937.893603,42,1
1479772938.719769,421,1
1479772938.719998,493,1
1479772938.720190,489,1
1479772938.720393,469,1
1479772938.720559,501,1
1479772938.720720,483,1
1479772938.720881,485,1
1479772943.897979,113,1
1479772962.746969,204,1
1479772962.908976,199,0
1479772962.911727,66,1
1479772967.910232,42,0
1479772967.911301,42,1
1479772968.739925,421,1
1479772968.740149,493,1
1479772968.740381,489,1
1479772968.740551,469,1
1479772968.740714,501,1
1479772968.740876,483,1
1479772968.741039,485,1
1479772977.336207,86,1
1479772979.016243,86,1
1479772992.782372,204,1
1479772992.955295,199,0
1479772992.957583,66,1
1479772997.960244,42,0
1479772997.961370,42,1
1479772998.745618,421,1
1479772998.745842,493,1
1479772998.746038,489,1
1479772998.746206,469,1
1479772998.746365,501,1
1479772998.746527,483,1
1479772998.746782,485,1
1479773022.809519,204,1
1479773022.971643,199,0
1479773022.973894,66,1
1479773023.696819,46,1
1479773025.276946,46,1
1479773027.980228,42,0
1479773027.981383,42,1
1479773028.765519,421,1
1479773028.765756,493,1
1479773028.765938,489,1
1479773028.766116,469,1
1479773028.769685,501,1
1479773028.769863,483,1
1479773028.770021,485,1
1479773041.606287,381,1
1479773041.792076,74,0
1479773041.793267,74,1
1479773041.794304,66,0
1479773041.795371,252,0
1479773041.796818,66,1
1479773041.798035,1236,1
1479773041.798444,66,1
1479773041.799409,66,0
1479773041.800742,66,0
1479773041.801599,66,1
1479773052.841545,204,1
1479773053.003518,199,0
1479773053.004671,66,1
1479773058.010250,42,0
1479773058.012518,42,1
1479773058.772776,421,1
1479773058.772985,493,1
1479773058.773160,489,1
1479773058.773338,469,1
1479773058.773516,501,1
1479773058.773704,483,1
1479773058.773876,485,1
1479773082.872347,204,1
1479773083.034234,199,0
1479773083.036531,66,1
1479773088.040241,42,0
1479773088.041354,42,1
1479773088.801718,421,1
1479773088.801942,493,1
1479773088.802127,489,1
1479773088.802296,469,1
1479773088.802461,501,1
1479773088.802627,483,1
1479773088.802805,485,1
1479773102.527655,86,1
1479773105.087597,86,1
1479773112.903057,204,1
1479773113.090026,199,0
1479773113.093248,66,1
1479773118.090233,42,0
1479773118.091297,42,1
1479773118.799636,421,1
1479773118.808832,493,1
1479773118.809035,489,1
1479773118.809208,469,1
1479773118.809381,501,1
1479773118.809556,483,1
1479773118.809741,485,1
1479773142.935843,204,1
1479773143.097656,199,0
1479773143.373115,199,0
1479773143.374296,66,1
1479773145.788033,46,1
1479773148.100243,42,0
1479773148.103501,42,1
1479773148.820090,421,1
1479773148.820382,493,1
1479773148.820576,489,1
1479773148.820763,469,1
1479773148.820952,501,1
1479773148.821139,483,1
1479773148.821325,485,1
1479773151.318173,46,1
1479773166.724518,381,1
1479773166.825646,381,1
1479773166.944070,74,0
1479773166.946490,74,1
1479773166.950120,66,0
1479773166.950424,252,0
1479773166.954563,66,1
1479773166.954654,1236,1
1479773166.954716,66,1
1479773166.956298,66,0
1479773166.966750,66,0
1479773166.968621,66,1
1479773167.005011,74,0
1479773167.006582,74,1
1479773167.010308,66,0
1479773167.010380,252,0
1479773167.016938,66,1
1479773167.017807,1236,1
1479773167.017881,66,1
1479773167.024080,66,0
1479773167.036685,66,0
1479773167.037625,66,1
1479773172.967682,204,1
1479773173.129691,199,0
1479773173.132127,66,1
1479773178.130245,42,0
1479773178.132581,42,1
1479773178.831642,421,1
1479773178.831893,493,1
1479773178.832079,489,1
1479773178.832265,469,1
1479773178.832444,501,1
1479773178.832624,483,1
1479773178.832823,485,1
1479773202.995869,204,1
1479773203.158007,199,0
1479773203.160274,66,1
1479773208.160240,42,0
1479773208.164999,42,1
1479773208.832388,421,1
1479773208.832603,493,1
1479773208.832782,489,1
1479773208.832963,469,1
1479773208.833142,501,1
1479773208.833318,483,1
1479773208.833502,485,1
1479773232.086377,86,1
1479773232.848999,86,1
1479773233.025363,204,1
1479773233.197588,199,0
1479773233.468917,199,0
1479773233.477507,66,1
1479773238.200241,42,0
1479773238.201405,42,1
1479773238.853213,421,1
1479773238.853467,493,1
1479773238.859250,489,1
1479773238.859453,469,1
1479773238.859633,501,1
1479773238.859812,483,1
1479773238.859990,485,1
1479773263.056996,204,1
1479773263.218820,199,0
1479773263.223080,66,1
1479773268.079338,46,1
1479773268.220242,42,0
1479773268.221602,42,1
1479773268.863034,421,1
1479773268.863294,493,1
1479773268.863481,489,1
1479773268.863662,469,1
1479773268.864135,501,1
1479773268.864335,483,1
1479773268.864523,485,1
1479773275.799702,46,1
1479773293.088183,204,1
1479773293.250193,199,0
1479773293.254107,66,1
1479773298.250243,42,0
1479773298.252634,42,1
1479773298.881008,421,1
1479773298.881256,493,1
1479773298.881707,489,1
1479773298.881912,469,1
1479773298.884450,501,1
1479773298.884650,483,1
1479773298.884829,485,1
1479773323.118805,204,1
1479773323.280724,199,0
1479773323.282151,66,1
1479773325.938642,381,1
1479773326.045373,381,1
1479773326.276636,74,0
1479773326.290176,74,1
1479773326.295106,66,0
1479773326.295234,252,0
1479773326.303840,66,1
1479773326.304435,1236,1
1479773326.304501,66,1
1479773326.307990,66,0
1479773326.315815,66,0
1479773326.318247,66,1
1479773326.364768,74,0
1479773326.366724,74,1
1479773326.369381,66,0
1479773326.372200,252,0
1479773326.373838,66,1
1479773326.374252,1236,1
1479773326.374318,66,1
1479773326.379488,66,0
1479773326.391786,66,0
1479773326.393113,66,1
1479773328.290247,42,0
1479773328.291349,42,1
1479773328.883746,421,1
1479773328.883961,493,1
1479773328.884142,489,1
1479773328.884316,469,1
1479773328.884495,501,1
1479773328.884674,483,1
1479773328.884862,485,1
1479773352.880418,86,1
1479773353.150333,204,1
1479773353.312282,199,0
1479773353.584636,199,0
1479773353.585821,66,1
1479773354.651410,86,1
1479773358.320242,42,0
1479773358.321362,42,1
1479773358.904466,421,1
1479773358.904721,493,1
1479773358.904912,489,1
1479773358.905103,469,1
1479773358.905289,501,1
1479773358.905756,483,1
1479773358.905960,485,1
1479773383.182311,204,1
1479773383.344125,199,0
1479773383.346406,66,1
1479773388.350241,42,0
1479773388.355945,42,1
1479773388.926222,421,1
1479773388.926450,493,1
1479773388.926641,489,1
1479773388.926818,469,1
1479773388.926978,501,1
1479773388.927140,483,1
1479773388.927301,485,1
1479773398.900906,46,1
1479773399.090696,46,1
1479773413.211555,204,1
1479773413.373446,199,0
1479773413.377440,66,1
1479773418.380246,42,0
1479773418.381327,42,1
1479773418.927657,421,1
1479773418.928730,493,1
1479773418.928921,489,1
1479773418.929088,469,1
1479773418.929250,501,1
1479773418.929410,483,1
1479773418.929577,485,1
1479773443.244858,204,1
1479773443.406656,199,0
1479773443.409053,66,1
1479773448.410241,42,0
1479773448.412378,42,1
1479773448.947465,421,1
1479773448.949769,493,1
1479773448.949919,489,1
1479773448.950037,469,1
1479773448.950156,501,1
1479773448.954133,483,1
1479773448.954327,485,1
1479773473.295198,204,1
1479773473.460399,199,0
1479773473.461931,66,1
1479773478.470248,42,0
1479773478.471730,42,1
1479773478.960914,421,1
1479773478.964513,493,1
1479773478.964694,489,1
1479773478.964845,469,1
1479773478.964995,501,1
1479773478.965149,483,1
1479773478.965302,485,1
1479773480.041684,86,1
1479773483.254592,86,1
1479773503.334343,204,1
1479773503.496196,199,0
1479773503.764340,199,0
