timestamp,packet_size,direction
1479772906.050678,75,1
1479772906.072456,529,0
1479772906.074974,90,1
1479772906.349581,90,0
1479772911.050134,42,1
1479772911.050197,42,0
1479772943.903745,113,1
1479772975.251311,172,1
1479772975.396009,135,0
1479772975.653624,135,0
1479772975.659355,66,1
1479772980.400248,42,0
1479772980.401396,42,1
1479773211.435728,172,1
1479773211.580434,135,0
1479773211.837648,135,0
1479773211.838484,66,1
1479773216.590244,42,0
1479773216.591078,42,1
1479773447.620262,172,1
1479773447.764890,135,0
1479773448.021641,135,0
1479773448.022530,66,1
1479773452.770246,42,0
1479773452.771335,42,1
1479773543.911996,113,1
1479773683.804644,172,1
1479773683.949431,135,0
1479773684.201696,135,0
1479773684.202613,66,1
1479773688.950230,42,0
1479773688.951428,42,1
1479773919.989115,172,1
1479773920.133774,135,0
1479773920.136335,66,1
1479773925.140244,42,0
1479773925.141023,42,1
1479774143.963837,113,1
1479774156.161505,172,1
1479774156.306283,135,0
1479774156.561743,135,0
1479774156.582119,66,1
1479774161.310230,42,0
1479774161.313086,42,1
1479774392.345947,172,1
1479774392.490584,135,0
1479774392.749749,135,0
1479774392.750588,66,1
1479774397.500249,42,0
1479774397.503955,42,1
1479774628.530907,172,1
1479774628.675598,135,0
1479774628.678139,66,1
1479774633.680237,42,0
1479774633.680998,42,1
1479774743.945876,113,1
1479774864.506757,172,1
1479774864.651584,135,0
1479774864.909880,135,0
1479774864.911037,66,1
1479774869.660224,42,0
1479774869.661023,42,1
1479775100.691185,172,1
1479775100.837181,135,0
1479775100.838656,66,1
1479775105.840245,42,0
1479775105.841028,42,1
1479775336.667455,172,1
1479775336.812288,135,0
1479775336.814790,66,1
1479775341.820240,42,0
1479775341.821057,42,1
1479775343.926982,113,1
1479775572.643855,172,1
1479775572.789630,135,0
1479775572.792291,66,1
1479775577.790261,42,0
1479775577.791068,42,1
1479775808.620227,172,1
1479775808.765144,135,0
1479775808.767754,66,1
1479775813.770241,42,0
1479775813.771029,42,1
1479775943.904282,113,1
1479776044.778270,172,1
1479776044.923373,135,0
1479776044.925880,66,1
1479776049.930238,42,0
1479776049.931050,42,1
1479776280.753077,172,1
1479776281.456123,172,1
1479776282.864133,172,1
1479776285.681253,172,1
1479776285.954654,103,1
1479776287.864095,42,1
1479776287.864137,42,0
1479776291.313471,172,1
1479776301.657000,80,1
1479776301.677993,418,0
1479776301.680510,74,1
1479776301.824718,74,0
1479776301.826754,66,1
1479776301.827708,281,1
1479776301.972009,66,0
1479776301.975057,1514,0
1479776301.975173,1514,0
1479776301.975256,743,0
1479776301.976889,66,1
1479776301.977258,66,1
1479776301.977349,66,1
1479776302.066325,200,1
1479776302.211325,300,0
1479776302.215769,66,1
1479776302.282260,620,1
1479776302.443546,167,0
1479776302.484117,66,1
1479776302.577250,172,1
1479776302.593360,284,1
1479776302.744530,135,0
1479776302.800244,66,1
1479776306.680247,42,0
1479776306.681034,42,1
1479776325.105508,172,1
1479776330.104182,42,1
1479776330.104224,42,0
1479776370.161681,172,1
1479776375.160305,42,1
1479776375.160346,42,0
1479776460.272481,172,1
1479776465.272431,42,1
1479776465.272468,42,0
1479776508.757161,75,1
1479776508.778804,541,0
1479776508.780355,90,1
1479776509.046695,90,0
1479776513.757029,42,1
1479776513.757091,42,0
1479776538.669551,172,1
1479776538.813992,135,0
1479776538.815468,66,1
1479776543.820245,42,0
1479776543.821214,42,1
1479776543.903426,113,1
1479776774.646013,172,1
1479776774.790345,135,0
1479776775.029040,172,1
1479776775.126255,135,0
1479776775.127089,66,1
1479776775.173003,78,0
1479776779.800243,42,0
1479776779.802583,42,1
1479777010.934395,172,1
1479777011.078388,66,0
1479777011.078801,135,0
1479777011.088258,66,1
1479777016.080246,42,0
1479777016.081001,42,1
1479777143.928147,113,1
1479777246.911880,172,1
1479777247.056207,135,0
1479777247.058775,66,1
1479777252.060239,42,0
1479777252.061016,42,1
1479777482.887155,172,1
1479777483.031587,135,0
1479777483.033143,66,1
1479777488.040231,42,0
1479777488.040974,42,1
1479777718.863676,172,1
1479777719.007977,135,0
1479777719.010473,66,1
1479777724.010236,42,0
1479777724.011582,42,1
1479777743.915828,113,1
1479777954.900242,172,1
1479777955.044594,135,0
1479777955.046963,66,1
1479777960.050245,42,0
1479777960.051075,42,1
1479778190.876686,172,1
1479778191.021121,135,0
1479778191.023624,66,1
1479778196.030231,42,0
1479778196.031097,42,1
