time_block_id,split
0,train
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,val
51,val
52,val
53,val
54,val
55,val
56,val
57,val
58,val
59,val
60,val
61,test
62,test
63,test
64,test
65,test
66,test
67,test
68,test
69,test
70,test
71,test
